,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20250621,06:03:20,37.94,113.41,48,23
1,20250621,09:26:33,37.84,54.09,69,25
2,20250621,09:27:31,41.97,59.29,55,17
3,20250621,09:29:39,47.51,45.61,54,18
4,20250622,10:48:06,35.29,40.52,21,8
5,20250624,08:30:07,40.44,71.79,16,7
6,20250624,11:34:36,-26.58,29.24,17,6
7,20250624,11:34:47,-26.1,28.17,13,4
8,20250625,13:15:03,37.23,-5.91,9,4
9,20250626,09:33:00,38.63,54.29,120,36
10,20250626,09:33:22,39.38,53.27,87,27
11,20250626,09:34:28,43.53,53.6,22,13
12,20250626,04:11:13,-21.94,148.87,34,12
13,20250626,12:38:55,-22.82,14.55,54,18
14,20250626,12:54:15,32.15,6.28,9,6
15,20250626,12:57:02,40.31,-4.1,6,3
16,20250626,17:40:04,-34.43,-58.62,78,50
17,20250627,07:34:53,43.54,71.43,15,5
18,20250627,09:14:42,39.51,53.19,181,61
19,20250627,09:15:04,41.76,59.59,75,25
20,20250627,17:22:07,-30.17,-52.04,11,5
21,20250628,07:19:28,58.34,78.02,46,24
