,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20260228,09:01:22,24.8,67.44,131,50
1,20260228,09:05:10,37.58,61.59,60,20
2,20260228,19:12:24,29.93,-95.14,42,18
3,20260228,19:12:48,33.39,-87.18,17,11
4,20260228,19:12:52,32.0,-93.42,68,32
5,20260301,08:40:32,18.48,73.82,15,5
6,20260301,08:42:36,24.9,67.14,79,30
7,20260302,06:50:22,53.93,88.06,33,17
8,20260302,08:21:59,19.1,72.9,49,19
9,20260302,08:23:00,22.96,72.51,7,6
10,20260302,08:23:59,24.8,67.12,111,40
11,20260304,07:56:15,61.78,64.35,26,15
12,20260304,09:26:40,25.04,68.0,106,33
13,20260304,09:30:46,38.34,53.94,17,6
14,20260304,09:31:06,39.5,53.72,92,41
15,20260304,09:37:46,63.66,56.19,38,15
16,20260304,17:37:44,-34.48,-58.49,50,21
17,20260304,17:38:23,-32.69,-60.81,26,10
18,20260305,09:09:04,30.14,71.44,33,22
19,20260305,09:17:13,57.89,54.08,45,20
20,20260306,08:47:02,19.15,72.77,88,28
21,20260306,08:49:22,27.21,69.34,8,5
22,20260306,08:49:33,28.01,69.88,13,5
23,20260306,12:14:35,31.85,6.08,34,12
24,20260306,12:18:46,50.01,18.6,13,8
25,20260306,20:41:32,33.47,-101.79,105,41
