,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20250315,08:16:24,22.3,73.27,13,5
1,20250315,08:16:35,22.73,72.93,18,9
2,20250315,08:21:15,37.61,62.15,47,18
3,20250315,08:21:13,38.11,65.08,20,8
4,20250315,10:01:43,35.04,40.66,50,17
5,20250315,10:01:57,37.74,53.99,96,43
6,20250315,10:02:11,38.28,54.24,116,44
7,20250315,10:02:30,39.4,53.84,219,74
8,20250316,06:25:12,53.81,88.14,11,10
9,20250316,09:43:04,37.6,61.93,36,15
10,20250316,09:43:31,39.47,53.74,240,80
11,20250316,09:43:20,38.95,54.64,88,31
12,20250316,09:44:37,43.3,52.8,25,10
13,20250316,19:50:48,33.03,-99.94,30,16
14,20250317,09:24:06,37.82,61.64,48,19
15,20250317,09:24:18,37.92,53.94,36,16
16,20250317,09:24:42,39.4,53.79,40,13
17,20250317,17:31:25,-34.47,-58.64,28,9
18,20250316,07:55:08,13.04,77.6,31,11
19,20250316,07:56:42,20.94,85.19,16,6
20,20250316,08:02:50,38.2,63.68,7,3
21,20250316,08:03:04,41.32,69.1,12,7
22,20250317,19:32:32,35.05,-98.72,63,25
23,20250318,05:41:44,36.52,112.22,20,12
24,20250318,09:05:11,37.66,61.75,112,35
25,20250318,09:06:06,39.65,53.7,267,89
26,20250318,09:06:02,41.69,67.11,65,21
27,20250318,10:42:04,21.74,39.37,26,9
28,20250318,12:25:30,28.02,9.76,5,5
29,20250318,17:34:19,39.84,-80.16,101,47
30,20250319,05:22:37,35.23,113.02,85,43
31,20250319,08:42:43,25.79,68.64,8,3
32,20250319,08:43:48,30.12,71.45,13,6
33,20250319,08:46:07,36.35,59.42,42,27
34,20250319,08:46:05,38.06,67.3,65,38
35,20250319,08:46:15,38.09,64.83,52,20
36,20250319,08:46:17,37.57,61.82,58,25
37,20250319,10:31:06,50.44,38.61,191,63
38,20250320,05:04:00,35.17,112.83,120,51
