,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20251108,08:58:58,24.97,67.36,135,50
1,20251108,08:59:12,25.67,68.52,32,10
2,20251108,08:59:51,28.05,69.45,33,14
3,20251108,09:02:28,36.22,59.74,13,6
4,20251108,09:02:47,37.45,60.01,23,8
5,20251108,09:02:43,37.58,62.24,19,13
6,20251108,09:03:31,38.66,54.27,40,13
7,20251108,09:03:47,39.38,53.83,48,22
8,20251108,10:40:13,24.59,46.88,17,6
9,20251108,10:42:11,31.41,48.01,34,24
10,20251108,10:43:25,35.11,40.62,31,15
11,20251108,12:24:31,31.74,6.06,60,24
12,20251108,19:11:02,32.95,-97.39,46,25
13,20251108,20:53:30,37.37,-120.72,4,3
14,20251109,06:59:15,27.36,95.34,19,9
15,20251109,08:38:22,19.13,73.0,18,8
16,20251109,08:40:15,24.88,67.01,160,72
17,20251109,08:40:24,25.76,68.38,17,5
18,20251109,08:40:55,28.07,69.47,20,7
19,20251109,08:42:24,33.69,73.09,23,10
20,20251109,08:43:48,36.66,61.71,8,4
21,20251109,08:44:00,37.59,62.28,66,41
22,20251109,08:44:09,38.98,64.42,18,8
23,20251109,08:44:42,40.3,62.42,10,4
24,20251109,08:44:43,40.43,62.09,26,9
25,20251109,08:45:21,42.31,60.0,133,52
26,20251109,10:21:09,21.8,39.25,27,11
27,20251109,10:21:24,24.6,46.91,20,10
28,20251109,10:23:13,31.19,48.89,44,23
29,20251109,10:24:14,35.0,51.7,87,25
30,20251109,10:24:38,35.05,40.57,58,23
31,20251109,11:59:11,10.3,19.21,68,22
32,20251109,12:09:10,45.13,10.12,10,5
33,20251110,06:40:35,27.34,95.42,23,10
34,20251110,08:19:43,18.92,72.81,29,10
35,20251110,08:25:30,39.68,66.93,28,17
36,20251110,08:25:39,39.01,63.76,21,8
37,20251110,08:26:09,40.47,62.13,10,5
38,20251110,10:04:22,31.25,48.88,9,5
39,20251110,10:05:28,35.31,51.37,69,21
40,20251110,10:05:59,35.23,40.27,40,17
41,20251110,10:06:08,37.92,53.76,107,47
42,20251110,10:06:19,38.61,54.17,55,18
43,20251110,10:06:35,39.39,53.65,61,37
44,20251110,13:29:56,40.42,-3.43,22,7
45,20251110,20:12:18,27.96,-99.42,18,8
46,20251110,20:13:48,32.63,-101.61,73,24
47,20251111,04:45:16,45.52,119.6,30,14
48,20251111,06:25:43,43.08,101.54,61,26
49,20251111,09:45:47,31.34,48.81,9,3
50,20251111,09:47:03,37.6,61.74,26,9
51,20251111,09:47:24,38.64,54.3,51,18
52,20251111,09:47:21,38.32,60.19,54,26
53,20251111,19:54:40,31.4,-103.11,42,21
54,20251111,19:54:50,32.38,-101.76,49,22
55,20251112,04:25:49,45.17,131.09,28,20
56,20251112,09:27:08,31.03,48.9,30,18
57,20251112,09:28:05,37.65,62.05,59,19
58,20251112,09:28:35,39.34,63.16,22,9
59,20251112,19:35:57,32.71,-97.03,29,14
60,20251112,19:36:51,35.49,-97.72,34,16
61,20251113,05:45:37,35.57,112.46,60,31
62,20251113,05:45:52,36.58,112.35,52,26
63,20251113,05:46:13,37.31,110.61,11,9
64,20251113,09:05:27,24.86,66.9,117,36
65,20251113,09:08:56,36.24,59.54,21,8
66,20251113,09:09:18,35.38,51.27,38,12
67,20251113,09:09:11,37.41,60.25,11,5
68,20251113,09:09:14,37.54,62.03,70,24
69,20251113,09:09:51,38.02,53.81,149,52
70,20251113,09:10:18,39.76,53.45,175,97
71,20251113,09:11:21,43.5,52.65,42,16
72,20251113,10:46:54,24.74,46.94,16,7
73,20251113,17:38:19,39.16,-80.29,155,81
74,20251113,19:16:55,33.46,-87.36,16,11
75,20251113,19:18:43,39.78,-87.81,11,6
76,20251114,05:27:32,37.36,110.9,27,16
77,20251114,08:44:51,19.44,72.77,33,15
78,20251114,08:46:45,24.75,67.03,64,28
79,20251114,08:46:53,25.72,68.69,4,2
80,20251114,08:47:23,27.98,69.78,26,10
81,20251114,08:50:36,37.48,60.99,22,12
82,20251114,08:50:31,37.89,62.31,22,7
83,20251114,08:50:46,39.68,66.84,32,17
84,20251114,08:50:44,39.28,65.38,12,5
85,20251114,08:50:53,39.75,64.19,9,4
86,20251114,08:51:18,39.83,58.41,16,7
87,20251114,08:51:55,42.37,59.1,29,15
88,20251114,18:57:34,31.5,-86.0,3,2
89,20251114,18:58:09,33.42,-87.26,23,10
90,20251114,18:58:14,34.27,-84.48,5,2
91,20251114,20:39:09,32.49,-108.23,18,6
92,20251115,05:08:32,36.37,112.74,54,24
93,20251115,05:08:53,37.97,113.33,74,28
94,20251115,05:08:37,36.5,112.23,37,13
