,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20250111,04:40:29,41.25,122.04,8,5
1,20250111,09:42:16,31.48,48.68,76,36
2,20250111,09:42:10,31.37,49.06,86,35
3,20250111,09:43:35,37.57,62.19,49,17
4,20250111,09:43:42,38.41,54.06,68,24
5,20250111,09:43:47,38.56,61.5,95,30
6,20250111,09:44:08,39.39,53.8,82,38
7,20250111,09:44:52,42.16,59.67,58,20
8,20250111,18:03:42,10.63,-71.62,65,22
9,20250111,08:03:37,40.99,68.73,28,13
10,20250111,08:03:51,39.59,63.21,75,28
11,20250111,12:57:44,5.11,6.05,57,33
12,20250111,13:04:05,28.91,7.18,8,3
13,20250111,13:05:02,31.88,6.07,57,23
14,20250111,19:50:18,29.27,-97.38,39,16
15,20250111,19:50:18,29.63,-95.55,23,9
16,20250111,19:51:28,32.25,-104.26,51,30
17,20250112,07:45:04,41.26,68.69,18,7
18,20250112,09:24:15,36.42,59.53,40,13
19,20250112,09:24:38,37.6,61.83,80,27
20,20250112,09:24:54,38.21,53.99,33,10
21,20250112,17:32:00,-34.56,-58.69,32,21
22,20250112,17:52:17,35.27,-80.75,6,4
23,20250112,06:01:04,35.83,109.24,8,4
24,20250113,03:44:01,-23.36,148.99,9,9
25,20250113,05:41:32,33.78,113.38,8,3
26,20250113,05:42:02,35.52,112.4,86,36
27,20250113,05:42:23,36.73,112.23,73,48
28,20250113,09:05:54,38.68,62.2,152,49
29,20250113,09:07:40,43.39,52.76,20,6
30,20250113,10:45:26,29.93,31.39,22,16
31,20250113,10:46:18,35.12,40.46,40,13
32,20250114,08:43:10,25.02,67.03,56,24
33,20250114,08:43:54,28.05,69.86,6,3
34,20250114,08:47:27,40.21,63.54,27,40
35,20250114,08:47:46,38.65,54.32,38,23
36,20250114,17:06:57,9.55,-63.95,115,43
37,20250114,10:26:08,31.11,49.33,87,31
38,20250114,10:27:30,35.02,40.76,36,15
39,20250115,05:04:58,36.48,112.18,56,23
40,20250115,06:43:21,27.34,95.32,27,9
41,20250115,08:26:02,32.46,74.47,10,6
42,20250115,08:26:34,34.15,72.14,10,6
43,20250115,08:26:34,34.01,71.59,13,8
44,20250115,08:28:11,37.37,61.37,134,60
45,20250115,08:28:39,39.82,63.11,26,10
46,20250115,10:07:10,31.27,49.28,43,14
47,20250115,10:08:49,35.37,40.29,49,16
48,20250115,13:32:46,40.27,-3.63,5,2
49,20250115,18:36:29,37.19,-82.32,4,3
50,20250115,20:18:43,36.09,-119.53,16,11
51,20250116,06:24:45,27.35,95.24,26,9
52,20250116,09:49:23,35.41,51.71,91,38
53,20250116,09:50:21,35.41,40.44,14,7
54,20250116,08:06:15,27.56,70.19,17,8
55,20250116,08:06:53,30.46,71.49,13,7
56,20250116,13:13:57,40.26,-3.78,40,19
57,20250116,19:57:25,31.3,-103.11,20,24
58,20250116,19:57:26,31.28,-103.42,36,16
59,20250116,17:57:00,-34.51,-58.6,40,22
60,20250117,09:29:52,31.58,49.08,65,26
61,20250117,21:21:27,37.55,-121.07,13,5
62,20250118,04:09:49,45.22,131.08,17,11
63,20250114,20:35:25,32.19,-103.46,29,18
64,20250114,20:35:28,32.39,-101.78,16,8
65,20250114,20:37:25,36.25,-119.42,22,11
66,20250114,20:37:57,37.94,-121.25,8,5
