,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20250524,11:15:16,-26.55,28.9,12,5
1,20250524,17:58:06,-34.55,-58.7,34,11
2,20250525,12:56:18,40.25,-3.64,9,3
3,20250526,09:13:33,37.96,53.96,76,32
4,20250526,09:15:11,44.32,55.23,68,27
5,20250526,09:18:34,56.26,50.49,37,15
6,20250526,09:18:33,56.85,55.56,71,31
7,20250526,09:18:47,56.46,47.4,47,22
8,20250527,07:16:58,49.6,72.53,21,7
9,20250527,08:54:05,37.02,61.92,41,13
10,20250527,08:58:28,51.96,55.05,9,3
11,20250527,08:59:12,54.36,52.6,97,36
12,20250527,08:59:48,54.3,44.92,52,18
13,20250527,08:59:55,56.68,51.08,16,9
14,20250527,08:59:59,57.8,55.88,90,44
15,20250527,10:39:36,52.04,45.34,135,45
16,20250527,10:40:21,54.66,44.9,56,21
17,20250527,11:58:51,-26.5,29.19,5,3
18,20250527,11:59:00,-26.26,28.06,4,3
19,20250528,08:35:44,37.94,60.98,49,17
20,20250528,08:39:34,52.95,61.53,209,69
21,20250528,08:41:09,56.18,50.57,60,23
22,20250528,10:21:51,56.32,51.09,31,12
23,20250529,13:18:46,31.78,6.07,34,15
24,20250530,09:43:23,54.8,54.11,35,25
