,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20251101,07:54:17,41.24,69.28,13,6
1,20251101,09:32:47,31.28,48.97,29,11
2,20251101,09:32:55,32.65,51.81,15,6
3,20251101,09:33:32,36.24,59.63,20,11
4,20251101,09:33:36,35.4,51.17,48,16
5,20251101,09:34:22,38.64,54.29,36,18
6,20251101,09:34:10,38.27,61.02,120,39
7,20251101,09:34:37,39.38,53.8,77,27
8,20251101,09:34:43,40.58,61.98,26,10
9,20251101,11:19:31,50.13,18.68,22,8
10,20251101,21:24:35,37.82,-121.29,26,12
11,20251102,05:51:52,37.14,111.83,20,11
12,20251102,05:52:04,37.99,113.76,72,31
13,20251102,05:52:34,39.7,113.22,30,17
14,20251102,05:54:01,43.31,101.5,54,26
15,20251102,09:14:22,32.61,51.86,11,7
16,20251102,09:15:07,35.55,51.16,54,23
17,20251102,09:15:03,38.09,67.2,113,38
18,20251102,09:15:33,38.28,54.34,34,13
19,20251102,09:15:54,39.44,53.7,75,23
20,20251102,10:55:42,35.29,40.41,48,17
21,20251102,12:36:48,32.11,5.81,13,7
22,20251102,19:24:02,36.88,-95.95,10,4
23,20251103,05:32:42,35.63,112.39,88,31
24,20251103,05:33:08,36.69,109.83,15,7
25,20251103,05:33:42,39.8,113.06,40,24
26,20251103,05:35:32,43.15,101.33,36,15
27,20251103,07:11:34,27.36,95.42,23,9
28,20251103,08:52:28,24.91,67.37,127,43
29,20251103,08:53:14,28.05,69.99,34,13
30,20251103,10:36:45,35.15,40.55,22,11
31,20251103,12:16:33,29.16,21.48,14,5
32,20251103,12:18:11,31.7,5.9,35,15
33,20251103,12:21:21,45.32,9.71,23,13
34,20251103,19:03:45,30.17,-96.03,19,8
35,20251103,19:04:01,32.65,-92.05,4,2
36,20251103,20:44:41,31.45,-103.48,23,8
37,20251103,20:47:12,40.26,-109.82,7,5
38,20251104,05:15:06,41.22,119.32,8,6
39,20251104,06:52:44,27.37,95.98,21,9
40,20251104,06:52:44,27.3,95.18,47,24
41,20251104,08:33:40,24.42,67.49,90,34
42,20251104,08:33:54,25.5,68.22,16,9
43,20251104,08:33:58,25.89,68.67,20,8
44,20251104,08:34:28,27.76,68.77,34,15
45,20251104,08:38:53,41.93,59.61,35,16
46,20251104,10:16:41,31.34,48.72,36,12
47,20251104,18:45:12,33.52,-87.11,15,9
48,20251104,18:45:12,34.28,-84.37,13,6
49,20251105,04:54:37,33.02,116.23,35,16
50,20251105,08:14:27,23.56,72.49,8,5
51,20251105,08:19:11,37.62,61.6,98,32
52,20251105,09:58:08,32.68,51.68,16,5
53,20251105,18:26:40,33.44,-87.1,22,14
54,20251105,20:06:50,31.11,-103.43,26,16
55,20251105,20:06:50,31.24,-103.01,26,11
56,20251105,20:06:59,31.67,-103.21,19,8
57,20251105,20:07:11,32.11,-104.11,22,10
58,20251105,20:06:54,31.45,-102.44,42,19
59,20251105,20:07:09,32.71,-100.39,64,24
60,20251105,20:08:12,33.13,-112.52,9,7
61,20251105,20:08:00,34.68,-106.94,27,18
62,20251106,04:16:01,-32.49,150.96,26,14
63,20251106,07:57:47,31.24,74.82,34,14
64,20251106,07:58:26,33.63,73.07,19,11
65,20251106,08:00:40,41.0,68.98,32,15
66,20251106,18:09:06,39.68,-80.37,19,10
67,20251106,09:37:43,24.58,46.88,10,4
68,20251106,09:39:11,31.07,48.79,29,11
69,20251106,09:40:01,34.99,51.55,16,11
70,20251106,09:40:41,37.9,53.95,65,21
71,20251106,11:25:56,49.99,18.66,11,6
72,20251106,13:01:51,31.84,5.98,6,3
73,20251106,19:46:34,25.5,-99.9,22,8
74,20251106,19:47:56,30.71,-101.89,32,16
75,20251107,09:17:58,24.78,67.03,162,52
76,20251107,09:21:12,36.22,59.8,19,6
77,20251107,09:21:24,35.0,51.48,23,20
78,20251107,09:21:36,37.7,60.38,17,7
79,20251107,09:22:02,38.62,54.26,65,39
80,20251107,09:22:23,39.36,53.82,72,24
81,20251107,11:02:29,35.33,40.36,27,8
82,20251107,12:42:29,29.64,6.75,16,5
