,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20251213,06:23:13,27.45,95.74,13,8
1,20251213,08:01:23,17.5,78.57,33,13
2,20251213,09:46:38,30.78,49.87,37,18
3,20251213,09:47:00,32.64,51.85,22,11
4,20251213,19:57:44,36.95,-108.78,17,8
5,20251214,06:05:40,35.57,112.3,62,35
6,20251214,06:05:47,35.74,108.94,15,6
7,20251214,06:06:00,36.7,109.86,10,4
8,20251214,06:06:11,37.38,110.9,24,14
9,20251214,07:43:45,23.89,90.17,47,14
10,20251214,11:10:04,35.34,40.4,35,12
11,20251215,05:46:49,35.66,112.32,184,105
12,20251215,05:47:00,35.6,109.21,11,3
13,20251215,05:47:13,36.65,109.87,6,3
14,20251215,05:46:51,36.22,113.02,65,41
15,20251215,05:47:04,36.64,112.38,53,27
16,20251215,05:47:20,37.2,109.78,13,5
17,20251215,05:47:20,37.42,110.88,17,6
18,20251215,07:25:47,27.45,95.49,13,5
19,20251215,09:06:38,24.84,67.16,74,28
20,20251215,09:10:45,39.45,62.83,11,4
21,20251215,19:17:52,32.28,-89.42,4,2
22,20251215,19:18:02,32.25,-93.31,6,7
23,20251215,19:18:04,33.4,-87.26,7,5
24,20251215,19:19:50,37.01,-99.85,58,27
25,20251216,05:28:31,35.93,108.2,26,16
26,20251216,05:28:18,36.47,112.27,106,52
27,20251216,05:28:39,37.98,113.6,84,50
28,20251216,05:28:34,37.75,113.76,56,44
29,20251216,07:06:51,27.24,95.3,37,12
30,20251216,08:48:34,27.95,69.75,18,7
31,20251216,18:59:18,33.42,-87.22,20,11
32,20251217,06:48:06,27.25,95.3,43,15
33,20251217,08:26:29,17.53,78.55,16,8
34,20251217,08:27:17,19.2,72.8,27,20
35,20251217,08:28:19,22.96,72.57,14,8
36,20251217,08:29:11,26.73,75.96,13,6
37,20251217,08:29:48,27.97,69.72,20,9
38,20251217,08:30:15,30.2,71.47,14,7
39,20251217,20:21:08,31.95,-101.83,8,8
40,20251218,06:29:33,27.35,95.32,22,15
41,20251218,08:07:41,17.48,78.54,21,9
42,20251218,08:15:49,42.23,59.87,57,44
43,20251218,09:54:56,38.46,54.15,92,29
44,20251218,09:55:16,39.47,53.66,83,29
45,20251218,09:56:38,43.23,46.03,21,12
46,20251218,20:00:32,25.82,-99.49,17,10
