,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20260530,07:27:56,63.21,75.29,45,16
1,20260530,14:05:02,33.39,-7.42,40,15
2,20260530,12:24:47,36.71,10.02,15,5
3,20260531,08:44:38,39.5,53.65,92,37
4,20260531,10:24:47,39.54,53.67,124,58
5,20260531,13:46:07,33.1,-7.57,29,11
6,20260531,20:31:49,32.33,-103.91,53,22
7,20260601,06:47:27,53.98,87.39,41,22
8,20260601,05:01:13,36.89,116.72,43,15
9,20260602,09:46:24,37.74,53.94,238,91
10,20260602,09:46:30,38.2,54.37,137,50
11,20260602,09:46:49,39.38,54.04,145,76
12,20260602,13:07:28,31.19,6.37,26,10
13,20260603,07:50:02,51.67,75.37,18,7
14,20260603,07:50:33,54.45,83.36,31,10
15,20260603,09:27:37,37.88,53.94,46,16
16,20260603,09:27:47,38.49,54.07,96,35
17,20260603,09:28:04,39.45,53.65,93,35
18,20260603,17:56:18,39.92,-80.37,82,44
19,20260604,09:04:52,25.66,68.88,74,27
20,20260604,09:09:16,38.8,53.95,170,73
21,20260604,09:09:26,39.52,53.21,151,46
22,20260605,08:47:28,31.6,74.46,22,9
23,20260605,08:50:39,38.21,54.1,132,40
24,20260605,08:56:49,62.25,50.07,24,12
