,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20250308,08:48:39,24.64,67.4,81,44
1,20250308,08:49:24,27.52,69.82,16,7
2,20250308,07:06:37,22.34,91.84,53,22
3,20250308,07:07:27,23.96,86.78,26,10
4,20250308,10:27:33,15.63,46.0,9,6
5,20250308,10:35:57,45.15,38.87,22,8
6,20250308,10:38:50,54.78,31.38,28,13
7,20250309,08:26:17,12.97,77.05,33,15
8,20250309,08:28:04,19.12,72.87,68,23
9,20250310,08:09:26,19.28,72.79,58,25
10,20250310,08:11:25,24.76,67.23,153,53
11,20250310,08:15:20,40.75,68.77,60,42
12,20250310,08:15:55,40.37,61.88,16,6
13,20250310,09:53:59,30.87,47.78,26,9
14,20250310,11:34:57,29.64,28.63,6,3
15,20250310,18:23:56,39.88,-80.4,36,18
16,20250310,18:24:22,39.77,-86.91,96,36
17,20250310,19:59:32,19.36,-99.12,53,29
18,20250310,20:01:31,26.68,-98.07,28,9
19,20250310,20:03:11,31.97,-104.07,43,21
20,20250310,20:03:20,32.65,-103.01,23,7
21,20250311,07:52:10,26.86,81.14,44,15
22,20250311,09:37:11,39.4,53.68,109,50
23,20250311,09:38:11,43.51,58.27,71,23
24,20250311,18:05:14,40.38,-79.64,141,76
25,20250311,19:41:03,20.33,-97.42,14,7
26,20250311,19:42:30,25.54,-99.92,24,10
27,20250311,19:44:15,31.46,-102.91,63,27
28,20250311,19:45:52,38.81,-93.57,13,9
29,20250312,07:31:47,22.55,88.48,27,13
30,20250312,09:17:33,37.61,61.78,87,29
31,20250312,09:17:56,37.86,53.9,128,39
32,20250312,09:17:43,38.33,63.12,28,9
33,20250312,09:17:42,38.35,63.54,27,9
34,20250312,10:58:19,35.31,40.37,19,7
35,20250312,19:21:14,17.94,-92.42,6,3
36,20250312,19:21:21,18.05,-94.31,22,12
37,20250312,19:25:37,34.54,-88.54,31,14
38,20250312,19:26:56,38.78,-93.71,40,13
39,20250313,08:54:55,24.79,67.66,139,47
40,20250313,08:55:40,28.04,69.51,31,13
41,20250313,08:58:38,37.63,61.82,67,26
42,20250313,08:58:40,37.79,65.61,9,4
43,20250313,08:58:38,37.23,60.36,26,9
44,20250313,08:59:24,38.63,54.2,94,34
45,20250313,10:39:17,35.07,40.71,19,7
46,20250313,19:08:11,38.9,-93.69,45,19
47,20250313,19:08:10,40.06,-80.36,47,29
48,20250314,08:34:06,18.56,73.93,15,6
49,20250314,08:35:22,22.97,72.76,48,18
50,20250314,10:19:07,31.22,49.07,13,5
51,20250314,10:20:17,35.43,50.97,65,30
52,20250314,10:22:35,43.26,45.97,28,12
