,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20250517,08:37:47,24.95,67.2,46,16
1,20250517,10:20:40,31.15,49.14,64,22
2,20250517,10:21:54,35.49,51.58,56,20
3,20250518,10:01:49,31.2,49.02,27,8
4,20250518,10:02:54,35.29,51.35,26,12
5,20250519,08:04:32,40.94,68.8,45,23
6,20250519,09:44:02,35.11,51.65,55,24
7,20250519,09:44:34,37.71,61.7,42,14
8,20250519,09:44:48,38.41,53.91,56,41
9,20250520,04:28:14,58.53,107.76,19,9
10,20250520,06:08:26,58.44,107.81,22,12
11,20250520,07:48:16,51.96,75.82,35,14
12,20250520,09:26:19,39.58,53.51,92,36
13,20250520,09:32:40,62.31,49.91,37,15
14,20250520,19:33:01,31.46,-96.76,32,11
15,20250521,09:02:56,24.95,67.23,77,30
16,20250521,09:06:38,37.76,62.13,15,6
17,20250521,09:06:44,38.07,61.77,21,7
18,20250521,09:07:21,38.75,54.85,96,32
19,20250521,09:07:36,39.46,53.68,103,38
20,20250521,19:15:20,35.33,-96.03,18,9
21,20250522,07:08:37,45.7,84.98,21,8
22,20250522,08:44:08,24.88,67.12,62,28
23,20250522,08:49:09,42.15,60.46,150,47
24,20250522,11:52:32,-26.52,28.84,34,13
25,20250522,18:35:41,-34.53,-59.3,85,27
26,20250522,18:55:22,32.23,-89.39,4,2
27,20250523,04:46:39,-28.71,140.03,16,10
28,20250523,10:10:30,39.44,53.61,116,56
