,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20250719,17:11:02,-25.71,-49.51,7,3
1,20250720,03:18:42,-32.5,151.18,17,9
2,20250720,08:49:54,60.47,44.31,63,23
3,20250720,10:30:26,60.55,44.68,48,18
4,20250721,08:24:46,40.0,63.33,32,13
5,20250721,08:26:45,49.43,72.68,21,9
6,20250721,08:30:11,60.54,60.38,41,24
7,20250721,13:28:43,40.21,-3.51,12,4
8,20250722,08:11:32,60.87,60.41,37,18
9,20250722,08:12:36,63.63,53.8,5,3
10,20250722,09:46:11,38.38,54.23,121,48
11,20250722,09:46:24,39.48,53.73,96,33
12,20250722,18:14:24,39.99,-80.34,7,2
13,20250723,09:26:37,36.92,63.0,127,42
14,20250723,09:27:18,38.69,54.38,13,5
15,20250723,11:06:30,29.95,31.13,18,12
16,20250724,04:10:51,63.56,125.07,49,24
17,20250724,07:30:29,49.8,73.47,36,16
18,20250724,09:09:00,41.49,59.81,96,33
19,20250724,09:09:25,42.56,57.92,89,28
20,20250724,09:09:57,43.26,52.76,15,5
21,20250725,07:12:15,54.59,86.14,26,10
22,20250725,08:49:08,37.67,62.09,72,24
23,20250725,08:49:32,40.24,68.71,27,9
24,20250725,08:50:09,39.75,56.55,217,71
25,20250725,08:50:23,39.48,53.86,62,24
26,20250725,08:50:27,41.79,59.12,57,23
27,20250725,11:56:07,-18.59,25.98,10,3
28,20250726,06:53:02,53.71,91.04,15,8
29,20250726,06:53:21,53.95,87.55,24,12
30,20250726,06:53:21,54.09,87.48,48,28
31,20250726,06:53:35,54.78,85.57,86,37
