,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20260321,09:11:51,37.71,61.97,56,33
1,20260321,09:12:33,38.42,53.85,26,8
2,20260321,09:12:54,39.46,53.66,99,37
3,20260321,17:31:32,8.56,-63.86,40,13
4,20260321,19:20:18,32.3,-101.62,36,19
5,20260322,17:03:03,-23.41,-46.85,27,13
6,20260322,20:41:28,31.29,-103.13,11,6
7,20260322,18:40:54,-34.63,-58.6,66,22
8,20260323,08:30:40,24.73,67.64,84,26
9,20260324,08:13:18,31.55,74.74,60,19
10,20260324,08:15:52,40.65,72.17,12,4
11,20260324,08:16:09,40.87,68.99,70,24
12,20260324,18:03:23,-34.55,-58.38,134,45
13,20260324,20:04:32,35.08,-96.47,27,11
14,20260325,07:53:36,28.36,77.98,57,27
15,20260325,07:57:39,40.91,68.57,62,30
16,20260325,07:59:57,51.8,75.7,30,13
17,20260325,09:41:21,49.44,41.84,15,5
18,20260325,12:58:42,31.78,5.89,32,16
19,20260325,17:44:39,-34.45,-58.49,53,30
20,20260325,19:45:26,32.23,-103.75,17,9
21,20260326,07:39:03,45.41,84.76,22,12
22,20260326,09:18:56,38.1,54.0,37,26
23,20260327,08:56:37,28.09,69.49,28,10
24,20260327,09:00:16,41.0,68.84,44,24
