,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20250301,09:23:12,31.45,48.86,33,16
1,20250301,19:33:03,35.99,-99.92,20,7
2,20250302,09:01:29,24.83,66.93,91,30
3,20250302,10:40:10,15.26,46.44,8,4
4,20250302,10:46:01,35.35,40.37,33,13
5,20250303,08:42:30,24.62,68.29,94,39
6,20250303,12:13:22,50.93,2.84,14,6
7,20250303,18:54:04,33.66,-87.03,15,9
8,20250305,08:06:14,30.81,75.5,54,25
9,20250305,08:06:16,30.22,71.79,25,12
10,20250305,09:50:01,39.72,53.63,254,79
11,20250305,17:56:27,-35.02,-58.46,46,18
12,20250306,09:30:24,37.8,62.21,135,43
13,20250306,09:31:02,39.47,53.69,160,52
14,20250306,04:28:33,46.05,125.25,45,15
15,20250306,07:48:21,33.52,73.22,45,24
16,20250307,07:25:24,22.1,92.02,61,34
17,20250307,09:07:37,24.75,67.11,175,54
18,20250307,09:08:30,27.91,69.74,62,28
19,20250307,09:11:12,36.98,62.81,154,63
20,20250307,09:11:52,37.98,53.95,32,18
21,20250307,09:12:03,38.45,54.08,49,17
