,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20250222,20:03:16,31.32,-101.91,47,23
1,20250222,20:04:21,35.61,-99.86,53,18
2,20250222,20:04:34,36.37,-100.37,52,19
3,20250223,13:01:10,40.28,-3.71,7,3
4,20250223,18:04:42,37.24,-78.02,3,2
5,20250223,18:05:09,37.63,-82.46,7,5
6,20250223,19:44:44,32.11,-101.59,32,17
7,20250223,19:44:47,32.32,-101.4,51,23
8,20250223,19:44:50,31.81,-103.46,81,28
9,20250223,19:45:59,35.33,-106.62,32,12
10,20250224,17:45:56,37.17,-77.09,11,7
11,20250224,19:25:32,33.12,-87.71,9,3
12,20250224,19:26:12,31.96,-103.03,94,40
13,20250224,19:26:07,32.5,-101.19,184,79
14,20250225,07:21:59,53.84,87.85,18,18
15,20250225,19:06:46,32.22,-93.46,5,7
16,20250226,06:54:24,22.23,91.85,28,10
17,20250226,06:55:28,27.22,95.21,13,4
18,20250226,07:03:00,53.7,87.98,29,28
19,20250226,08:34:38,19.17,72.75,44,28
20,20250226,18:47:55,33.55,-87.24,47,22
21,20250226,18:48:55,37.81,-84.12,125,61
22,20250227,06:36:43,27.31,95.23,31,12
23,20250227,08:21:32,37.37,62.15,118,40
24,20250228,09:43:11,37.41,53.89,26,19
25,20250228,09:43:38,39.15,54.16,119,43
26,20250228,18:10:24,34.45,-81.57,8,6
27,20250228,19:50:35,32.36,-93.3,53,22
28,20250228,19:50:50,32.16,-101.51,107,37
29,20250228,19:50:54,33.19,-96.18,26,15
30,20250228,19:50:54,32.59,-100.77,79,36
