,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20250405,08:22:02,19.14,72.99,29,17
1,20250405,08:23:07,22.96,72.6,37,13
2,20250406,08:05:13,26.9,76.02,39,24
3,20250406,08:06:20,30.76,74.86,26,12
4,20250406,09:50:03,39.46,53.74,119,43
5,20250406,11:29:05,28.85,20.91,8,6
6,20250407,09:31:13,39.44,53.74,73,22
7,20250407,12:54:49,40.07,-3.93,9,4
8,20250408,09:07:56,25.12,67.41,161,55
9,20250408,10:46:45,15.87,45.61,35,11
10,20250408,19:19:10,31.81,-94.85,4,3
11,20250408,19:19:08,32.17,-93.65,19,12
12,20250408,19:19:34,33.0,-96.79,26,13
13,20250408,19:19:54,32.65,-101.42,138,45
14,20250408,19:20:01,34.77,-96.07,5,3
15,20250409,08:49:05,25.53,68.42,63,21
16,20250409,08:48:59,24.94,67.06,57,32
17,20250409,10:27:45,15.68,46.02,60,19
18,20250409,19:00:05,30.64,-93.17,130,60
19,20250409,19:00:22,33.31,-87.34,10,5
20,20250410,08:33:57,38.11,65.26,6,3
21,20250410,08:34:30,41.25,69.27,33,13
22,20250410,10:09:06,15.62,45.96,29,10
23,20250410,11:38:36,-26.57,29.25,12,5
24,20250410,20:22:59,34.21,-97.96,39,15
25,20250411,08:15:31,40.79,72.33,12,8
26,20250411,20:00:05,20.29,-97.43,14,6
27,20250411,20:03:33,31.94,-101.79,70,22
28,20250411,20:04:52,37.14,-101.18,73,25
