,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20260425,08:17:30,38.31,61.8,143,49
1,20260425,08:17:43,40.0,63.4,38,18
2,20260425,11:42:19,45.1,10.14,11,4
3,20260426,09:40:26,43.71,52.73,33,13
4,20260427,03:55:27,-32.51,150.95,24,11
5,20260427,09:16:03,25.36,68.14,136,44
6,20260427,19:28:06,32.28,-101.88,82,32
7,20260427,19:28:48,36.74,-98.05,198,64
8,20260428,07:23:54,51.67,75.38,40,13
9,20260428,09:00:43,37.19,62.19,89,31
10,20260428,09:01:02,38.88,66.13,20,6
11,20260428,20:51:13,36.17,-119.29,40,14
12,20260429,07:04:56,53.83,88.15,13,9
13,20260429,07:05:15,54.76,86.17,64,26
