,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20251128,12:48:55,27.82,10.09,36,12
1,20251129,05:46:28,35.75,109.12,8,3
2,20251129,05:46:28,36.43,112.93,100,47
3,20251129,05:46:50,37.46,110.74,15,6
4,20251129,07:25:14,27.24,95.27,22,7
5,20251129,09:09:33,36.3,59.61,10,5
6,20251129,09:09:52,38.25,62.12,68,27
7,20251129,09:09:53,38.22,65.11,13,7
8,20251129,09:10:24,37.94,53.88,32,17
9,20251129,09:10:36,38.7,54.38,32,21
10,20251129,09:10:48,39.38,53.77,67,45
11,20251129,10:47:28,24.78,46.86,27,15
12,20251129,12:30:58,29.78,6.68,12,4
13,20251129,12:31:13,31.04,7.85,5,2
14,20251129,12:31:29,31.84,5.9,27,11
15,20251130,05:25:32,28.85,115.82,6,5
16,20251130,07:02:24,13.64,101.49,10,5
17,20251130,07:06:23,27.36,95.32,19,11
18,20251130,08:47:22,24.98,67.05,28,9
19,20251130,08:51:08,37.31,60.5,35,22
20,20251130,08:51:31,39.43,63.01,18,7
21,20251130,08:52:01,38.69,54.28,61,20
22,20251130,08:52:34,42.76,59.87,19,9
23,20251130,10:28:04,21.65,39.41,24,8
24,20251130,10:28:32,24.63,46.92,35,17
25,20251201,08:26:43,19.12,72.87,20,12
26,20251201,08:28:47,25.56,68.24,20,12
27,20251201,08:28:45,24.9,67.1,142,57
28,20251201,08:29:17,27.98,69.76,14,10
29,20251201,08:30:35,33.63,72.97,14,9
30,20251201,08:32:31,37.52,62.16,76,38
31,20251201,10:12:58,35.21,40.63,47,17
32,20251201,11:52:32,29.15,20.37,22,7
33,20251201,20:20:44,32.28,-101.97,32,20
34,20251202,08:10:42,28.02,69.63,14,6
35,20251202,08:14:02,37.59,62.35,98,40
36,20251202,09:54:28,35.44,40.41,62,25
37,20251202,09:54:27,38.49,54.19,191,65
38,20251202,09:54:49,39.45,53.7,76,29
39,20251203,19:39:37,19.41,-99.21,9,7
40,20251204,09:12:37,24.82,67.19,47,17
41,20251204,09:18:22,43.43,52.84,31,12
42,20251204,05:55:24,43.06,101.2,23,8
43,20251204,17:23:45,-34.62,-58.51,147,55
44,20251205,05:33:26,33.94,113.42,39,17
45,20251205,05:33:56,35.39,112.47,121,37
46,20251205,05:34:12,35.53,109.04,25,20
47,20251205,05:34:24,36.58,109.81,21,12
48,20251205,07:12:50,27.37,95.77,22,9
49,20251205,08:53:45,24.83,67.15,41,25
50,20251205,08:57:30,37.63,61.75,146,49
51,20251205,08:58:25,38.68,54.26,33,11
52,20251205,08:58:11,40.25,62.08,27,19
53,20251205,10:35:09,24.99,46.53,21,7
54,20251205,12:18:05,28.05,10.47,41,16
