,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20260124,06:36:29,27.33,95.32,26,14
1,20260124,08:15:34,19.09,72.84,25,10
2,20260125,09:42:50,37.65,61.78,69,30
3,20260125,09:43:10,38.64,54.25,62,19
4,20260125,09:43:23,39.43,53.65,98,32
5,20260126,07:39:18,27.32,95.27,12,6
6,20260126,09:24:09,37.95,53.92,51,22
7,20260126,21:14:23,37.49,-120.82,27,17
8,20260127,07:20:18,27.33,95.33,13,7
9,20260127,09:01:12,24.83,66.71,47,20
10,20260127,10:44:52,31.92,36.17,21,8
11,20260127,19:16:39,47.2,-93.17,163,75
12,20260128,06:59:57,21.68,94.71,10,4
13,20260128,07:01:25,27.32,95.46,24,7
14,20260128,07:01:26,27.42,95.75,9,4
15,20260128,08:42:27,24.83,67.24,37,17
16,20260128,08:43:36,30.08,71.48,6,5
17,20260129,06:41:20,21.6,94.59,12,4
18,20260130,06:27:49,42.96,101.0,26,9
19,20260130,09:47:18,29.19,48.0,13,9
20,20260130,17:57:17,-32.27,-63.37,13,5
21,20260130,19:57:00,31.84,-103.95,106,39
22,20260131,04:05:42,-32.77,151.29,15,5
