,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20260221,06:11:58,30.73,104.35,3,2
1,20260221,07:54:15,32.35,74.4,38,22
2,20260221,07:54:43,33.66,72.9,81,32
3,20260221,09:35:25,30.93,49.52,34,21
4,20260221,09:35:31,31.26,48.8,46,21
5,20260221,09:36:40,37.57,61.94,80,26
6,20260221,09:37:01,38.63,54.32,77,25
7,20260221,09:37:24,39.36,53.75,107,35
8,20260221,09:37:26,40.46,61.74,28,16
9,20260221,09:37:54,42.15,59.8,103,40
10,20260221,11:16:09,30.29,31.45,24,12
11,20260221,12:58:04,31.62,5.89,29,11
12,20260221,19:43:27,29.51,-95.76,107,33
13,20260222,09:13:56,25.1,67.87,160,51
14,20260222,09:17:47,37.94,60.91,40,12
15,20260222,09:17:38,35.45,51.31,53,22
16,20260222,09:17:52,38.62,64.45,6,2
17,20260222,09:17:55,38.19,60.1,54,18
18,20260222,09:18:31,39.24,54.13,82,32
19,20260222,09:18:36,39.65,53.87,162,67
20,20260222,10:55:16,24.49,46.96,18,15
21,20260222,12:39:20,31.76,5.97,32,12
22,20260223,08:55:05,24.91,67.72,75,30
23,20260223,08:58:54,37.55,61.99,58,20
24,20260223,08:59:17,39.31,62.69,25,12
25,20260223,08:59:15,39.63,64.36,16,7
26,20260223,10:38:17,31.34,48.96,17,8
27,20260223,10:38:52,32.02,36.46,25,8
28,20260223,12:20:48,31.8,5.83,22,10
29,20260224,08:37:32,30.16,71.47,11,4
30,20260224,08:38:35,33.99,71.59,24,14
31,20260224,08:40:00,37.65,63.86,61,24
32,20260224,08:40:00,37.34,62.51,21,8
33,20260225,08:19:31,33.5,72.86,32,11
34,20260225,13:23:26,32.14,6.1,22,12
35,20260226,09:43:19,38.5,54.15,50,20
36,20260226,09:43:36,39.46,53.69,53,22
37,20260227,09:20:17,24.92,67.17,107,40
38,20260227,17:52:49,39.12,-80.2,8,8
39,20260227,19:27:48,18.03,-94.01,4,3
40,20260227,19:31:00,29.47,-95.7,10,6
41,20260227,19:32:15,31.66,-103.9,41,31
42,20260227,19:32:28,34.54,-97.54,22,7
