,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20250913,08:12:10,36.88,62.48,79,26
1,20250913,09:51:05,31.08,49.45,46,17
2,20250913,09:52:59,35.39,40.46,28,11
3,20250913,09:53:00,38.83,54.26,52,17
4,20250913,09:53:12,39.45,53.73,84,31
5,20250914,06:10:02,35.41,112.86,32,9
6,20250914,06:11:28,40.3,111.2,23,14
7,20250914,09:32:41,32.0,48.95,69,27
8,20250914,09:33:56,37.78,53.82,201,75
9,20250914,09:34:44,41.4,59.73,74,25
10,20250914,17:41:07,-34.53,-58.63,78,30
11,20250914,18:02:33,39.76,-82.25,63,25
12,20250914,12:57:58,40.32,-3.58,5,2
13,20250915,09:14:19,36.51,63.14,62,21
14,20250915,09:21:40,61.14,46.48,106,46
15,20250915,10:54:38,31.88,36.12,16,6
16,20250915,10:55:27,35.43,40.7,61,28
17,20250915,12:39:22,40.23,-3.72,6,4
18,20250916,07:18:46,53.88,88.03,16,8
19,20250916,07:18:51,54.07,87.23,38,21
20,20250916,07:19:02,51.8,74.83,52,18
21,20250916,07:19:08,54.68,83.49,6,3
22,20250916,08:55:52,37.67,61.78,85,34
23,20250916,08:56:04,37.37,60.51,8,3
24,20250916,08:56:42,38.57,54.21,63,26
25,20250916,08:56:45,40.06,58.6,6,5
26,20250916,10:35:14,31.16,48.91,62,19
27,20250916,10:40:34,49.73,41.95,157,49
28,20250916,10:40:48,50.57,39.25,12,4
29,20250916,10:41:15,52.05,39.26,41,14
30,20250916,13:58:54,33.24,-7.55,28,11
31,20250916,12:16:43,28.89,9.01,18,6
32,20250916,12:18:40,36.73,10.06,24,11
33,20250916,20:46:40,37.27,-120.87,18,10
34,20250917,08:37:22,39.71,66.98,16,8
35,20250917,08:38:17,41.52,60.09,27,9
36,20250917,08:43:14,55.98,44.58,77,28
37,20250917,10:16:27,31.52,48.79,259,122
38,20250917,10:17:40,35.16,40.46,14,5
39,20250917,10:17:28,35.58,50.99,34,14
40,20250917,10:21:45,49.9,38.51,86,28
41,20250917,10:23:24,56.23,44.99,94,44
42,20250917,11:41:44,-26.58,29.28,53,27
43,20250918,04:56:07,42.45,123.59,20,7
44,20250918,04:58:40,52.08,127.6,18,8
45,20250918,06:41:25,54.62,86.15,45,14
46,20250918,08:24:07,55.65,49.36,28,10
47,20250918,08:24:31,61.05,61.96,130,63
48,20250918,08:24:36,61.65,63.86,64,32
49,20250918,09:58:27,35.51,51.25,35,11
50,20250918,09:59:05,35.09,40.27,47,18
51,20250918,09:59:19,38.63,54.32,77,25
52,20250918,09:59:35,39.35,53.7,160,55
53,20250918,18:06:00,-34.57,-58.75,65,23
54,20250918,18:27:22,39.83,-80.19,112,56
55,20250918,18:27:27,39.69,-83.04,6,3
56,20250919,08:00:14,41.31,69.18,17,10
57,20250919,06:22:24,53.78,87.9,42,19
58,20250919,06:22:31,54.05,86.99,88,40
59,20250919,09:40:10,37.96,53.85,66,29
60,20250919,19:48:32,35.65,-97.84,15,5
61,20250919,13:01:32,31.96,4.31,44,15
62,20250919,18:08:33,39.67,-80.45,48,28
