,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20260411,09:15:20,24.82,67.17,37,12
1,20260411,09:18:47,36.46,59.45,20,16
2,20260411,09:20:18,41.91,68.45,21,8
3,20260411,17:48:13,39.88,-80.26,21,9
4,20260412,07:14:00,21.6,94.69,8,3
5,20260412,08:55:56,22.96,72.55,16,6
6,20260412,08:56:30,24.82,66.82,177,57
7,20260412,08:57:15,27.95,69.85,18,6
8,20260413,10:19:19,26.46,49.56,24,9
9,20260413,08:35:54,19.12,73.04,85,32
10,20260413,08:36:47,22.26,73.08,50,22
11,20260413,08:37:06,23.32,72.38,38,25
12,20260413,08:37:49,24.84,67.22,43,18
13,20260413,08:42:06,41.17,69.09,12,5
14,20260414,08:17:16,19.09,72.94,98,41
15,20260414,08:17:47,21.1,73.03,16,6
16,20260414,08:18:17,22.99,72.6,43,23
17,20260414,08:19:07,27.18,78.07,15,8
18,20260414,08:19:32,28.54,77.58,84,40
19,20260414,08:20:25,31.32,74.54,78,31
20,20260414,05:01:41,46.76,125.24,28,14
21,20260415,08:00:45,28.21,77.86,69,28
22,20260415,13:08:45,40.5,-3.39,24,11
23,20260416,04:01:06,-32.82,151.24,51,26
24,20260416,07:50:47,60.38,72.36,277,136
25,20260416,07:51:29,61.11,63.23,35,14
26,20260416,09:32:17,58.84,40.04,18,9
27,20260417,03:42:24,-32.88,151.23,53,34
28,20260417,05:43:09,35.43,112.76,37,11
29,20260417,05:43:37,36.82,109.89,19,6
30,20260417,07:22:06,27.32,95.29,10,5
31,20260417,07:33:00,60.54,60.22,69,48
32,20260417,09:03:37,25.91,60.92,47,20
