,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20251227,08:42:00,24.81,66.95,50,18
1,20251227,05:22:07,35.67,112.34,106,61
2,20251227,05:22:42,37.98,113.2,103,33
3,20251227,05:22:43,35.98,107.59,25,14
4,20251227,05:22:46,37.43,110.75,35,13
5,20251228,05:02:40,33.56,116.74,21,12
6,20251228,05:03:35,35.64,112.3,200,94
7,20251228,06:44:16,36.24,107.79,92,43
8,20251228,08:19:23,13.07,77.63,7,3
9,20251228,08:21:18,19.0,72.87,28,13
10,20251228,08:22:25,22.97,72.52,14,10
11,20251228,08:27:50,40.47,62.11,20,8
12,20251228,10:07:37,35.13,40.95,44,22
13,20251229,06:27:21,43.01,101.11,35,14
14,20251229,17:55:56,-34.31,-58.52,92,30
15,20260101,05:29:33,39.74,113.06,16,12
16,20260101,08:48:19,24.82,67.24,30,12
17,20260101,08:48:56,27.94,69.82,14,5
18,20260101,08:51:50,36.2,59.69,49,27
19,20251229,11:28:22,29.05,21.08,14,5
20,20251229,13:10:01,31.77,6.15,14,6
21,20251230,09:26:59,27.16,56.88,96,34
22,20251230,12:50:01,27.99,9.46,14,4
23,20251230,12:50:28,29.42,6.34,6,2
24,20251230,12:51:14,32.07,6.7,72,29
25,20251230,19:37:43,32.09,-101.48,31,12
26,20251230,19:38:25,35.71,-98.27,28,11
27,20251231,05:49:59,43.02,101.0,23,9
28,20251231,09:10:55,37.9,59.95,50,17
29,20251231,09:11:34,38.7,54.41,103,32
30,20251231,10:48:26,24.63,46.82,14,5
31,20251231,12:32:33,31.72,6.08,34,12
32,20251231,19:19:41,36.18,-95.97,10,4
33,20260101,18:59:41,33.45,-87.17,25,12
34,20260101,19:01:00,37.77,-89.17,10,4
35,20260101,12:12:37,28.0,9.71,14,8
36,20260101,12:13:58,31.64,5.92,11,5
37,20260102,05:10:52,39.83,113.3,36,12
38,20260102,06:48:33,27.36,95.33,34,12
39,20260102,08:29:41,24.88,67.16,32,12
40,20260102,08:30:15,27.95,69.79,4,2
41,20260102,10:10:38,24.63,46.89,61,21
