,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20251220,07:32:15,27.3,95.32,23,10
1,20251221,07:13:18,27.24,95.25,43,15
2,20251219,17:43:04,-34.53,-58.59,27,11
3,20251219,19:43:41,31.47,-103.43,35,21
4,20251220,19:23:15,25.66,-99.73,9,4
5,20251219,09:37:00,42.19,59.98,74,33
6,20251221,12:18:37,28.21,9.99,21,7
7,20251219,11:18:25,41.17,28.19,24,15
8,20251222,06:54:30,27.14,95.11,6,3
9,20251222,08:35:36,24.86,66.71,40,12
10,20251222,10:19:57,35.45,40.01,35,14
11,20251222,20:27:44,32.47,-101.64,166,62
12,20251223,13:21:35,28.54,7.86,54,22
13,20251223,20:08:55,32.35,-103.81,17,10
14,20251224,11:21:38,29.87,30.95,30,11
15,20251225,05:59:49,35.65,109.13,6,3
16,20251225,05:59:35,35.49,112.46,81,43
17,20251225,06:00:11,37.46,110.92,15,6
18,20251225,09:22:26,32.58,51.71,14,7
19,20251225,09:23:06,35.28,51.78,73,22
20,20251226,05:41:07,35.58,109.01,18,13
21,20251226,05:41:25,36.58,107.67,63,24
22,20251226,09:00:40,24.82,66.98,53,18
23,20251226,10:44:24,31.92,36.2,6,2
24,20251226,10:45:08,35.52,40.35,39,15
25,20251226,19:13:02,35.06,-95.41,15,8
