,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20250215,06:58:06,13.87,100.01,9,3
1,20250215,07:00:48,22.41,91.79,45,22
2,20250215,08:39:20,13.0,77.46,38,16
3,20250215,08:41:34,20.94,72.82,32,11
4,20250215,08:42:59,24.92,67.16,87,39
5,20250215,08:44:08,30.16,71.48,13,7
6,20250215,10:27:18,35.32,40.37,30,10
7,20250216,06:42:12,22.36,91.76,35,14
8,20250216,08:21:31,17.51,78.61,26,9
9,20250216,08:22:04,18.51,73.76,13,5
10,20250216,08:22:18,19.12,72.83,37,13
11,20250216,08:23:07,22.34,73.23,18,7
12,20250216,08:23:19,22.97,72.57,41,20
13,20250216,08:24:14,24.94,67.09,114,50
14,20250216,13:32:30,40.34,-3.54,8,5
15,20250216,18:15:34,-34.65,-58.68,22,8
16,20250216,20:16:17,32.34,-101.87,30,13
17,20250217,06:31:54,53.8,87.96,24,19
18,20250217,08:02:45,17.51,78.69,18,7
19,20250217,08:03:39,19.14,72.85,29,14
20,20250217,08:06:56,32.12,74.22,10,5
21,20250217,08:09:39,41.3,69.31,28,8
22,20250217,09:49:54,35.22,40.1,45,20
23,20250218,06:13:13,53.87,88.24,23,19
24,20250218,07:44:06,17.54,78.95,14,5
25,20250219,07:34:51,54.18,87.32,52,39
26,20250219,09:08:00,24.94,68.18,91,39
27,20250219,09:11:42,37.5,60.42,40,13
28,20250219,09:11:41,37.78,61.46,72,27
29,20250219,19:15:32,18.0,-93.05,14,7
30,20250220,07:15:46,53.81,87.88,11,9
31,20250220,08:49:08,24.8,67.02,134,46
32,20250220,08:49:10,25.48,68.28,25,10
33,20250220,08:49:53,27.98,69.7,22,17
34,20250220,10:26:33,9.09,39.88,26,9
35,20250220,10:27:57,15.85,46.07,28,13
36,20250221,06:56:48,53.83,88.06,13,10
37,20250221,08:28:30,19.18,72.8,26,16
38,20250221,08:29:25,23.0,72.52,49,16
39,20250222,08:09:48,19.2,72.78,69,25
40,20250222,08:10:56,22.9,72.14,23,9
41,20250222,08:11:49,24.8,66.72,55,17
42,20250222,08:13:00,31.6,74.3,19,9
43,20250222,08:13:46,34.12,72.22,23,11
