,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20250607,08:44:31,24.89,67.07,54,23
1,20250607,10:25:41,24.69,46.91,30,19
2,20250607,10:28:43,34.74,41.01,33,12
3,20250608,05:12:26,58.86,106.97,17,8
4,20250608,08:33:53,53.31,58.93,10,5
5,20250608,10:10:09,35.15,40.76,10,3
6,20250608,10:10:14,35.41,40.37,12,4
7,20250608,13:33:47,38.74,-3.94,36,15
8,20250608,13:34:09,40.15,-3.92,31,18
9,20250608,20:17:52,31.83,-104.01,44,31
10,20250609,09:51:30,37.95,53.95,93,41
11,20250609,11:18:00,-16.19,33.83,9,4
12,20250609,11:34:49,44.37,26.33,27,18
13,20250609,20:00:04,35.95,-102.07,6,3
14,20250610,04:10:34,-23.05,148.58,20,9
15,20250610,04:10:32,-23.32,148.87,13,6
16,20250610,04:35:22,62.86,116.88,97,40
17,20250610,07:57:23,55.37,55.95,38,13
18,20250610,09:32:41,38.23,54.52,61,21
19,20250610,09:33:00,39.37,54.27,207,63
20,20250610,09:36:01,50.33,58.21,82,26
21,20250610,09:36:05,50.67,58.53,126,42
22,20250610,09:37:38,55.67,49.88,45,17
23,20250610,09:37:40,56.11,52.77,59,25
24,20250610,17:39:39,-34.56,-58.64,46,22
25,20250611,03:51:06,-25.62,149.09,9,5
26,20250611,03:51:47,-23.09,148.58,11,6
27,20250611,07:36:24,51.71,75.42,26,14
28,20250611,07:39:08,61.53,70.07,32,17
29,20250611,09:13:52,37.77,54.18,126,48
30,20250611,09:14:16,39.44,54.24,213,73
31,20250611,09:17:54,50.32,43.72,114,36
32,20250611,17:22:53,-25.51,-49.33,13,7
33,20250611,17:42:30,39.91,-79.92,80,38
34,20250612,03:32:24,-25.8,148.89,9,4
35,20250612,07:09:52,27.02,94.59,16,10
36,20250612,07:17:40,54.17,86.07,27,9
37,20250612,07:17:54,54.68,83.46,23,11
38,20250612,05:31:13,36.36,112.68,59,19
39,20250612,08:55:31,38.73,54.26,48,18
40,20250612,08:55:41,39.38,53.64,49,16
41,20250612,08:56:48,43.7,53.15,85,28
42,20250612,11:59:21,-26.14,28.98,8,4
43,20250612,12:17:28,36.71,10.04,14,7
44,20250613,06:58:34,53.72,91.01,27,10
45,20250613,06:58:51,54.1,87.2,58,28
46,20250613,06:59:05,54.6,86.13,44,20
47,20250613,06:59:13,55.53,86.1,6,3
48,20250613,08:35:52,38.54,65.97,18,9
49,20250613,08:36:02,37.38,60.63,63,21
50,20250613,08:36:55,38.61,54.72,100,33
51,20250613,10:16:33,35.53,40.57,35,12
52,20250614,06:36:25,43.01,101.22,16,6
53,20250614,06:39:42,53.69,91.02,14,6
