,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20260128,18:53:52,33.41,-87.21,21,12
1,20260128,20:33:50,29.36,-98.54,20,9
2,20260131,06:09:05,43.01,101.2,25,10
3,20260131,09:26:27,24.88,66.72,56,29
4,20260131,09:29:18,32.76,51.79,42,27
5,20260131,09:30:05,37.42,61.72,50,33
6,20260131,19:38:20,32.39,-101.63,19,7
7,20260201,05:48:00,36.62,112.17,91,44
8,20260201,05:50:25,42.99,101.23,27,10
9,20260201,07:26:41,27.29,95.26,18,7
10,20260201,09:07:31,24.89,66.64,89,28
11,20260201,19:19:41,31.87,-102.31,44,14
12,20260201,19:20:05,35.56,-97.22,27,13
13,20260202,05:28:53,35.41,112.78,71,43
14,20260202,05:29:16,36.55,112.29,41,15
15,20260202,05:29:38,37.65,110.72,16,5
16,20260202,08:52:13,36.23,59.65,31,25
17,20260202,10:30:05,25.15,46.82,34,11
18,20260202,20:40:47,31.26,-103.1,59,27
19,20260202,20:40:59,31.94,-104.05,122,48
20,20260203,08:30:07,24.82,67.15,43,15
21,20260203,08:32:02,33.38,72.87,36,17
22,20260203,18:39:44,28.51,-81.3,11,5
23,20260204,06:30:22,27.34,95.39,20,8
24,20260204,08:15:12,40.79,72.34,19,8
25,20260204,20:03:02,31.38,-103.59,38,15
26,20260205,12:56:57,28.53,10.58,60,20
27,20260205,18:05:08,39.14,-80.17,23,10
28,20260205,19:44:31,32.5,-101.06,91,42
29,20260206,03:53:16,-32.66,151.05,15,9
30,20260206,09:13:52,24.87,66.88,110,38
31,20260206,09:14:41,27.93,69.9,16,7
32,20260206,09:17:19,36.31,59.61,44,19
33,20260206,12:38:00,28.05,9.68,60,28
34,20260206,12:39:10,31.94,6.09,16,9
35,20260206,19:25:57,32.46,-101.6,34,18
36,20260206,19:26:54,35.89,-101.97,25,11
