,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20260627,05:13:54,33.95,113.32,19,7
1,20260627,08:36:18,34.01,71.56,11,4
2,20260627,10:16:52,31.12,49.39,22,7
3,20260627,12:03:53,50.3,18.46,24,18
4,20260628,11:43:08,44.37,26.68,3,2
5,20260628,13:23:00,37.16,-5.89,10,5
6,20260629,08:06:54,63.74,67.03,15,5
7,20260629,09:40:26,35.39,51.17,32,15
8,20260629,09:41:21,39.4,53.79,251,106
9,20260629,21:31:05,37.13,-120.7,9,3
10,20260630,04:20:04,47.2,131.91,32,13
11,20260630,05:58:23,36.42,112.91,31,11
12,20260630,09:22:12,37.8,53.84,137,43
13,20260630,09:22:28,38.81,53.97,127,49
14,20260630,09:22:28,38.47,54.29,44,26
15,20260630,09:22:34,39.44,53.73,185,57
16,20260630,09:28:43,61.09,46.42,112,55
17,20260630,09:29:00,62.95,52.96,22,12
18,20260630,17:29:15,-34.81,-58.75,111,43
19,20260630,19:29:37,30.53,-101.26,122,43
20,20260701,14:05:49,32.9,-7.73,39,13
21,20260701,12:09:46,-18.97,26.03,12,4
22,20260702,06:59:26,27.3,95.32,8,5
23,20260702,07:10:37,65.87,77.87,75,36
24,20260702,10:23:19,31.15,49.15,20,11
25,20260702,13:47:12,33.72,-6.88,25,12
26,20260702,18:52:31,36.71,-82.42,15,9
27,20260703,06:48:22,53.86,87.21,33,14
28,20260703,10:05:42,35.66,51.16,32,20
29,20260703,10:06:03,35.74,43.88,39,15
30,20260703,10:06:16,38.23,53.89,184,84
31,20260703,10:06:39,39.16,53.68,163,64
32,20260703,13:30:05,40.4,-3.61,5,3
33,20260703,18:13:10,-34.52,-58.68,28,13
