,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20260704,09:46:51,36.65,61.34,15,6
1,20260704,09:47:21,38.35,62.11,57,25
2,20260704,09:47:48,39.65,53.21,152,64
3,20260705,06:04:36,35.71,112.34,92,33
4,20260705,09:28:06,37.58,60.59,14,7
5,20260705,09:28:20,38.21,60.97,60,34
6,20260705,12:47:30,24.91,17.89,14,6
7,20260705,12:49:17,30.14,7.85,28,10
8,20260706,05:46:10,36.98,111.71,15,9
9,20260706,09:09:01,36.39,61.55,26,9
10,20260706,09:09:31,38.34,61.79,169,65
11,20260706,09:11:27,43.4,52.82,13,7
12,20260706,09:14:29,55.73,56.44,157,55
13,20260706,14:12:29,33.45,-7.61,42,15
14,20260707,08:51:07,39.71,62.24,22,7
15,20260707,08:51:12,39.91,61.78,22,7
16,20260707,08:51:28,40.23,59.97,35,11
17,20260707,13:53:26,33.01,-7.45,55,19
18,20260707,13:53:33,33.54,-6.67,14,5
19,20260707,11:55:13,-26.5,29.11,12,4
20,20260707,12:13:29,36.92,10.31,53,22
21,20260708,08:39:17,66.13,74.05,24,14
22,20260708,10:10:55,31.26,49.43,16,5
23,20260708,16:41:52,-23.54,-47.08,31,12
24,20260708,13:34:44,33.43,-7.57,38,14
25,20260708,13:36:29,40.33,-3.61,10,6
26,20260709,09:53:30,37.22,61.44,35,17
27,20260709,16:23:11,-23.4,-47.09,17,8
28,20260709,13:14:18,29.4,5.89,26,8
29,20260709,13:14:57,31.7,5.77,5,2
30,20260709,13:16:13,33.3,-7.4,29,13
31,20260710,04:38:03,63.13,112.35,43,20
32,20260710,06:17:29,53.72,85.65,15,6
33,20260710,07:57:19,51.64,75.32,18,7
34,20260710,09:34:27,36.69,61.73,135,44
35,20260710,09:35:47,41.75,59.88,67,23
36,20260710,09:36:33,44.03,53.31,64,25
37,20260710,12:56:11,32.39,6.35,13,6
