,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20250503,08:04:33,40.06,62.31,30,10
1,20250503,09:44:48,40.12,54.07,70,21
2,20250503,17:51:06,-34.91,-58.83,117,43
3,20250503,19:52:24,34.55,-101.57,11,7
4,20250503,19:52:35,35.23,-101.54,14,7
5,20250504,09:24:49,36.76,61.86,31,16
6,20250504,09:25:17,38.4,62.39,28,9
7,20250504,09:25:45,40.13,62.52,52,16
8,20250504,19:32:57,32.7,-96.74,27,10
9,20250505,09:06:12,37.71,61.23,142,53
10,20250505,09:06:46,39.87,61.69,28,14
11,20250505,09:06:51,40.0,61.56,33,11
12,20250506,08:47:15,38.04,67.34,53,26
13,20250507,08:29:14,41.22,69.31,17,6
14,20250507,10:09:22,35.39,40.68,27,10
15,20250507,10:09:32,36.17,41.35,7,4
16,20250508,09:50:03,35.48,51.35,36,18
17,20250508,09:50:45,34.88,41.1,22,9
18,20250508,09:50:41,38.09,53.78,52,25
19,20250508,09:50:50,35.27,40.42,27,10
20,20250508,09:50:50,38.51,54.17,44,31
21,20250508,09:51:00,38.96,54.19,80,43
22,20250508,09:51:06,39.48,53.69,82,32
23,20250508,09:51:12,39.86,54.38,113,42
24,20250509,07:52:02,44.56,84.49,19,8
25,20250509,09:31:50,38.03,53.83,75,33
26,20250509,09:31:35,37.66,61.93,76,30
27,20250509,09:32:17,39.67,53.75,54,22
28,20250509,19:37:55,27.41,-97.61,201,71
29,20250509,17:38:59,-34.28,-58.71,75,30
