,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20250816,12:02:55,49.95,19.99,58,20
1,20250817,08:18:42,41.13,69.43,36,14
2,20250817,09:59:20,39.44,54.91,34,20
3,20250817,10:02:05,48.66,49.86,70,23
4,20250817,10:02:17,49.59,49.59,57,22
5,20250817,11:43:31,45.42,9.11,9,3
6,20250817,18:11:58,-12.79,-62.32,10,8
7,20250818,09:39:43,37.29,61.41,84,30
8,20250818,09:40:10,38.47,53.81,88,39
9,20250818,09:42:51,48.29,57.25,5,2
10,20250819,09:21:15,38.35,53.85,164,56
11,20250819,09:21:46,39.98,53.35,86,48
12,20250819,09:23:27,46.13,53.64,51,17
13,20250819,09:24:08,45.27,42.41,44,17
14,20250819,09:24:21,46.54,42.94,63,23
15,20250820,09:02:01,37.95,62.67,14,5
16,20250820,09:02:06,38.64,65.61,27,9
17,20250820,09:02:38,38.33,54.53,14,9
18,20250820,10:42:36,35.37,41.37,18,8
19,20250821,08:43:50,41.16,69.16,20,8
20,20250821,10:23:55,35.34,40.26,26,11
21,20250821,18:30:42,-35.43,-58.7,51,20
22,20250822,06:47:17,53.99,87.28,48,19
