,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20260613,06:27:43,67.45,63.92,18,8
1,20260613,08:06:11,62.51,66.06,83,36
2,20260613,08:07:30,67.49,64.04,14,6
3,20260613,09:40:53,39.38,53.97,258,117
4,20260614,06:07:38,67.59,84.08,21,8
5,20260614,07:47:44,64.06,68.81,13,5
6,20260614,09:21:48,38.26,53.97,141,91
7,20260614,09:21:55,38.68,54.3,33,10
8,20260614,09:22:11,39.43,53.53,102,37
9,20260615,07:29:07,64.26,68.8,18,7
10,20260615,07:28:56,64.77,72.39,27,8
11,20260615,09:02:48,39.29,62.56,79,26
12,20260615,09:03:01,39.94,63.05,115,39
13,20260615,09:09:29,62.72,64.24,40,15
14,20260616,07:09:06,60.56,74.06,18,7
15,20260616,18:28:58,-45.64,-68.51,62,23
16,20260616,20:32:11,32.22,-103.56,16,8
17,20260617,06:47:50,54.0,87.37,38,16
18,20260617,06:48:19,54.58,83.46,31,11
19,20260617,06:48:36,55.51,81.9,29,12
20,20260617,08:31:52,64.29,69.15,40,18
21,20260617,10:04:05,31.09,49.75,23,11
22,20260617,10:05:44,37.74,53.99,56,36
23,20260617,10:06:15,39.56,54.22,53,24
24,20260617,10:06:14,39.46,53.77,79,50
25,20260617,13:28:01,33.33,-7.32,12,6
26,20260617,16:34:59,-23.68,-46.59,21,10
27,20260617,20:13:08,31.64,-102.08,20,10
28,20260618,06:32:32,65.21,78.4,73,24
29,20260618,08:13:17,65.63,79.09,70,26
30,20260618,09:46:47,37.76,53.84,109,51
31,20260618,19:52:35,25.52,-99.73,13,7
32,20260619,07:52:56,61.02,76.77,123,42
33,20260619,09:28:06,37.79,53.96,49,27
34,20260619,09:28:31,39.04,53.88,78,25
35,20260619,12:52:49,44.96,8.55,9,3
36,20260620,07:31:56,54.11,87.38,42,20
37,20260620,07:31:57,54.03,85.44,39,20
38,20260620,07:32:03,54.16,82.79,19,9
39,20260620,09:08:43,37.0,62.1,99,35
40,20260620,09:09:31,37.93,54.31,87,45
