 61 4052.600786 2.499E-26 6.498E-03.04780.061 1594.36720.61-.007645    0 0 1 1 1F1    0 0 0 0 1A1   16E  67        17E   3     233333332329 1 1 1    66.0   70.0
 61 4052.627272 1.613E-26 4.551E-05.05230.068  690.01760.64-.007645    0 0 0 3 2F2    0 0 0 0 1A1   12F1 21        11F2  3     233333332329 1 1 1    75.0   69.0
 61 4052.649348 1.478E-25 1.337E-04.05980.075  293.17010.70-.007645    0 0 0 3 1F1    0 0 0 0 1A1    8E  12         7E   1     333333332329 1 1 1    34.0   30.0
 61 4052.687356 5.824E-25 3.525E-01.04900.060 1780.26950.61-.007645    1 0 0 1 1F2    0 0 0 0 1A1   17E  73        18E   3     233333332329 1 1 1    70.0   74.0
 61 4052.723779 3.286E-27 3.099E-03.04850.059 1977.17960.60-.007645    0 1 0 2 1F2    0 0 0 0 1A1   19F1 64        19F2  5     233333332329 1 1 1   117.0  117.0
 61 4052.751923 1.380E-27 9.563E-05.04780.061 1417.80740.61-.007645    0 0 0 3 1F2    0 0 0 0 1A1   17F2 26        16F1  3     233333332329 1 1 1   105.0   99.0
 61 4052.757806 3.469E-27 1.794E-05.05230.068  814.64810.64-.007645    0 0 0 3 2F2    0 0 0 0 1A1   12F2 38        12F1  1     233333332329 1 1 1    75.0   75.0
 61 4052.767995 9.331E-27 2.631E-05.05230.068  689.87690.64-.007645    0 0 0 3 2F2    0 0 0 0 1A1   12F1 21        11F2  2     233333332329 1 1 1    75.0   69.0
 61 4052.775043 7.601E-25 1.430E-02.04930.065 1096.17110.62-.007645    1 0 0 1 1F2    0 0 0 0 1A1   13F1 71        14F2  4     333333332329 1 1 1    81.0   87.0
 61 4052.780159 5.496E-25 1.168E-03.05500.073  575.25980.65-.007645    0 1 0 2 1F1    0 0 0 0 1A1    9F2 42        10F1  2     233333332329 1 1 1    57.0   63.0
 61 4052.799976 2.260E-26 3.948E-04.04930.065 1095.61940.62-.007645    0 0 0 3 2F2    0 0 0 0 1A1   14F1 45        14F2  2     233333332329 1 1 1    87.0   87.0
 61 4052.855639 4.071E-25 8.649E-04.05500.073  575.18430.65-.007645    0 1 0 2 1F1    0 0 0 0 1A1    9F2 42        10F1  1     233333332329 1 1 1    57.0   63.0
 61 4052.894246 1.998E-25 6.370E-04.05500.073  575.27190.65-.007645    0 1 0 2 1F1    0 0 0 0 1A1    9E  28        10E   2     233333332329 1 1 1    38.0   42.0
 61 4052.908224 1.936E-26 3.351E-03.04780.061 1594.02620.61-.007645    0 0 1 1 1F1    0 0 0 0 1A1   16F2102        17F1  4     233333332329 1 1 1    99.0  105.0
 61 4052.937175 9.677E-25 2.726E-03.05230.068  689.70770.64-.007645    0 0 0 3 2F2    0 0 0 0 1A1   12F1 21        11F2  1     233333332329 1 1 1    75.0   69.0
 61 4052.946294 1.024E-25 8.010E-03.04780.063 1417.75310.62-.007645    1 0 0 1 1F2    0 0 0 0 1A1   15F1 89        16F2  3     233333332329 1 1 1    93.0   99.0
 61 4052.948601 3.196E-27 1.157E-03.04850.059 1780.12270.60-.007645    0 0 0 3 1F2    0 0 0 0 1A1   19F2 26        18F1  3     233333332329 1 1 1   117.0  111.0
 61 4052.964579 1.175E-26 2.209E-04.04930.065 1095.98140.62-.007645    1 0 0 1 1F2    0 0 0 0 1A1   13F1 71        14F2  3     333333332329 1 1 1    81.0   87.0
 61 4052.984933 1.416E-27 1.312E-05.05250.067  950.52240.63-.007645    0 1 0 2 1F2    0 0 0 0 1A1   13F2 40        13F1  4     233333332329 1 1 1    81.0   81.0
 61 4053.033430 2.312E-25 1.803E-02.04780.063 1417.12940.62-.007645    1 0 0 1 1F2    0 0 0 0 1A1   15F2 86        16F1  2     233333332329 1 1 1    93.0   99.0
 61 4053.039581 1.764E-26 4.578E-03.04780.061 1593.92830.61-.007646    0 0 1 1 1F1    0 0 0 0 1A1   16E  67        17E   2     233333332329 1 1 1    66.0   70.0
 61 4053.058585 2.695E-26 1.040E-01.04700.058 2183.70360.60-.007646    0 2 0 1 1F1    0 0 0 0 1A1   19E  84        20E   4     233333332329 1 1 1    78.0   82.0
 61 4053.086223 5.168E-26 9.722E-04.04930.065 1096.13310.62-.007646    1 0 0 1 1F2    0 0 0 0 1A1   13F2 70        14F1  3     333333332329 1 1 1    81.0   87.0
 61 4053.094970 8.023E-26 3.539E-03.04780.063 1417.86520.62-.007646    0 1 0 2 1F2    0 0 0 0 1A1   16A2 17        16A1  2     233333332329 1 1 1   165.0  165.0
