x_utm,y_utm,distance_to_water_m,tanager_fnu_estimate,sentinel_fnu_estimate,tanager_relative_signal,sentinel_relative_signal,combined_relative_signal,along_coast_offset_km,section
578355.0,69075.0,268.3281572999748,47.730427,197.62099,60.12544802867383,70.3405017921147,65.23297491039426,1.1099999999999273,N1
578385.0,69075.0,283.0194339616981,47.730427,197.62099,60.12544802867383,70.3405017921147,65.23297491039426,1.1099999999999273,N1
578325.0,69045.0,228.47319317591726,47.730427,197.62099,60.12544802867383,70.3405017921147,65.23297491039426,1.0799999999999272,N1
578355.0,69045.0,241.86773244895647,47.730427,197.62099,60.12544802867383,70.3405017921147,65.23297491039426,1.0799999999999272,N1
578325.0,69015.0,201.24611797498108,47.730427,197.62099,60.12544802867383,70.3405017921147,65.23297491039426,1.0499999999999272,N1
578355.0,69015.0,216.33307652783935,47.730427,197.62099,60.12544802867383,70.3405017921147,65.23297491039426,1.0499999999999272,N1
578385.0,69015.0,234.30749027719963,47.730427,197.62099,60.12544802867383,70.3405017921147,65.23297491039426,1.0499999999999272,N1
578415.0,69015.0,254.5584412271571,47.730427,197.62099,60.12544802867383,70.3405017921147,65.23297491039426,1.0499999999999272,N1
578415.0,68985.0,234.30749027719963,47.730427,197.62099,60.12544802867383,70.3405017921147,65.23297491039426,1.0199999999999272,N1
578385.0,68955.0,192.09372712298546,47.730427,197.62099,60.12544802867383,70.3405017921147,65.23297491039426,0.9899999999999273,N1
578415.0,68955.0,216.33307652783935,47.730427,197.62099,60.12544802867383,70.3405017921147,65.23297491039426,0.9899999999999273,N1
578385.0,68925.0,174.92855684535903,47.730427,197.62099,60.12544802867383,70.3405017921147,65.23297491039426,0.9599999999999272,N1
578415.0,68925.0,201.24611797498108,47.730427,197.62099,60.12544802867383,70.3405017921147,65.23297491039426,0.9599999999999272,N1
577455.0,68895.0,134.1640786499874,405.49802,411.59232,98.56630824372759,80.82437275985663,89.69534050179212,0.9299999999999272,N1
577485.0,68895.0,150.0,405.49802,411.59232,98.56630824372759,80.82437275985663,89.69534050179212,0.9299999999999272,N1
577515.0,68895.0,134.1640786499874,363.34335,421.57782,94.80286738351255,83.87096774193549,89.33691756272401,0.9299999999999272,N1
577545.0,68895.0,123.69316876852982,363.34335,421.57782,94.80286738351255,83.87096774193549,89.33691756272401,0.9299999999999272,N1
577575.0,68895.0,120.0,363.34335,421.57782,94.80286738351255,83.87096774193549,89.33691756272401,0.9299999999999272,N1
577605.0,68895.0,123.69316876852982,363.34335,421.57782,94.80286738351255,83.87096774193549,89.33691756272401,0.9299999999999272,N1
577725.0,68895.0,120.0,338.66394,438.58743,93.63799283154121,85.03584229390681,89.33691756272401,0.9299999999999272,N1
577755.0,68895.0,123.69316876852982,338.66394,438.58743,93.63799283154121,85.03584229390681,89.33691756272401,0.9299999999999272,N1
577785.0,68895.0,123.69316876852982,400.33145,368.1137,97.58064516129032,78.94265232974911,88.26164874551972,0.9299999999999272,N1
577815.0,68895.0,120.0,400.33145,368.1137,97.58064516129032,78.94265232974911,88.26164874551972,0.9299999999999272,N1
578415.0,68895.0,189.73665961010278,47.730427,197.62099,60.12544802867383,70.3405017921147,65.23297491039426,0.9299999999999272,N1
577035.0,68865.0,120.0,101.46227,133.54951,63.44086021505376,61.82795698924731,62.634408602150536,0.8999999999999272,N1
577065.0,68865.0,120.0,84.49576,145.50597,62.00716845878136,63.08243727598566,62.54480286738351,0.8999999999999272,N1
577155.0,68865.0,120.0,156.20729,157.45016,72.93906810035843,67.02508960573476,69.9820788530466,0.8999999999999272,N1
577185.0,68865.0,120.0,130.59094,152.96878,69.44444444444444,66.21863799283155,67.831541218638,0.8999999999999272,N1
577215.0,68865.0,120.0,118.756966,151.16641,66.93548387096774,65.50179211469535,66.21863799283155,0.8999999999999272,N1
577245.0,68865.0,120.0,254.35481,152.49452,85.75268817204301,65.86021505376344,75.80645161290323,0.8999999999999272,N1
577275.0,68865.0,120.0,224.61006,146.30263,78.40501792114696,63.530465949820794,70.96774193548387,0.8999999999999272,N1
577305.0,68865.0,108.16653826391968,454.35883,377.05957,99.6415770609319,79.74910394265234,89.69534050179212,0.8999999999999272,N1
577335.0,68865.0,94.86832980505139,454.35883,377.05957,99.6415770609319,79.74910394265234,89.69534050179212,0.8999999999999272,N1
577365.0,68865.0,90.0,454.35883,377.05957,99.6415770609319,79.74910394265234,89.69534050179212,0.8999999999999272,N1
577395.0,68865.0,90.0,405.49802,411.59232,98.56630824372759,80.82437275985663,89.69534050179212,0.8999999999999272,N1
577425.0,68865.0,94.86832980505139,405.49802,411.59232,98.56630824372759,80.82437275985663,89.69534050179212,0.8999999999999272,N1
577455.0,68865.0,108.16653826391968,405.49802,411.59232,98.56630824372759,80.82437275985663,89.69534050179212,0.8999999999999272,N1
577605.0,68865.0,94.86832980505139,363.34335,421.57782,94.80286738351255,83.87096774193549,89.33691756272401,0.8999999999999272,N1
577725.0,68865.0,90.0,338.66394,438.58743,93.63799283154121,85.03584229390681,89.33691756272401,0.8999999999999272,N1
577755.0,68865.0,94.86832980505139,338.66394,438.58743,93.63799283154121,85.03584229390681,89.33691756272401,0.8999999999999272,N1
577785.0,68865.0,94.86832980505139,400.33145,368.1137,97.58064516129032,78.94265232974911,88.26164874551972,0.8999999999999272,N1
577815.0,68865.0,90.0,400.33145,368.1137,97.58064516129032,78.94265232974911,88.26164874551972,0.8999999999999272,N1
578415.0,68865.0,169.7056274847714,85.03351,157.81119,62.45519713261649,67.47311827956989,64.96415770609319,0.8999999999999272,N1
578445.0,68865.0,192.09372712298546,85.03351,157.81119,62.45519713261649,67.47311827956989,64.96415770609319,0.8999999999999272,N1
578475.0,68865.0,212.13203435596427,137.24057,147.7342,70.16129032258065,64.24731182795699,67.20430107526883,0.8999999999999272,N1
578505.0,68865.0,234.30749027719963,137.24057,147.7342,70.16129032258065,64.24731182795699,67.20430107526883,0.8999999999999272,N1
577005.0,68835.0,94.86832980505139,101.46227,133.54951,63.44086021505376,61.82795698924731,62.634408602150536,0.8699999999999273,N1
577035.0,68835.0,90.0,101.46227,133.54951,63.44086021505376,61.82795698924731,62.634408602150536,0.8699999999999273,N1
577065.0,68835.0,90.0,84.49576,145.50597,62.00716845878136,63.08243727598566,62.54480286738351,0.8699999999999273,N1
577095.0,68835.0,90.0,183.04654,157.44263,74.6415770609319,66.57706093189965,70.60931899641577,0.8699999999999273,N1
577125.0,68835.0,90.0,156.20729,149.36078,72.93906810035843,65.14336917562724,69.04121863799284,0.8699999999999273,N1
577155.0,68835.0,90.0,156.20729,157.45016,72.93906810035843,67.02508960573476,69.9820788530466,0.8699999999999273,N1
577515.0,68835.0,84.8528137423857,363.34335,421.57782,94.80286738351255,83.87096774193549,89.33691756272401,0.8699999999999273,N1
577545.0,68835.0,67.0820393249937,363.34335,421.57782,94.80286738351255,83.87096774193549,89.33691756272401,0.8699999999999273,N1
577575.0,68835.0,60.0,363.34335,421.57782,94.80286738351255,83.87096774193549,89.33691756272401,0.8699999999999273,N1
577605.0,68835.0,67.0820393249937,363.34335,421.57782,94.80286738351255,83.87096774193549,89.33691756272401,0.8699999999999273,N1
578505.0,68835.0,216.33307652783935,137.24057,147.7342,70.16129032258065,64.24731182795699,67.20430107526883,0.8699999999999273,N1
578535.0,68835.0,241.86773244895647,137.24057,147.7342,70.16129032258065,64.24731182795699,67.20430107526883,0.8699999999999273,N1
578565.0,68835.0,268.3281572999748,137.24057,147.7342,70.16129032258065,64.24731182795699,67.20430107526883,0.8699999999999273,N1
576975.0,68805.0,84.8528137423857,101.46227,133.54951,63.44086021505376,61.82795698924731,62.634408602150536,0.8399999999999272,N1
577005.0,68805.0,67.0820393249937,101.46227,133.54951,63.44086021505376,61.82795698924731,62.634408602150536,0.8399999999999272,N1
577335.0,68805.0,42.42640687119285,454.35883,377.05957,99.6415770609319,79.74910394265234,89.69534050179212,0.8399999999999272,N1
577365.0,68805.0,30.0,454.35883,377.05957,99.6415770609319,79.74910394265234,89.69534050179212,0.8399999999999272,N1
577395.0,68805.0,30.0,405.49802,411.59232,98.56630824372759,80.82437275985663,89.69534050179212,0.8399999999999272,N1
577425.0,68805.0,42.42640687119285,405.49802,411.59232,98.56630824372759,80.82437275985663,89.69534050179212,0.8399999999999272,N1
577455.0,68805.0,60.0,327.6267,224.59871,93.1899641577061,72.04301075268818,82.61648745519713,0.8399999999999272,N1
577485.0,68805.0,60.0,288.9481,236.13342,90.32258064516128,72.22222222222221,81.27240143369175,0.8399999999999272,N1
577515.0,68805.0,60.0,233.69382,239.4484,82.97491039426524,72.40143369175627,77.68817204301075,0.8399999999999272,N1
578565.0,68805.0,256.3201123595259,137.24057,147.7342,70.16129032258065,64.24731182795699,67.20430107526883,0.8399999999999272,N1
578595.0,68805.0,283.0194339616981,204.32405,139.52002,75.80645161290323,62.54480286738351,69.17562724014337,0.8399999999999272,N1
576975.0,68775.0,60.0,68.88052,127.69348,61.469534050179206,60.752688172043015,61.111111111111114,0.8099999999999272,N1
577005.0,68775.0,42.42640687119285,101.46227,133.54951,63.44086021505376,61.82795698924731,62.634408602150536,0.8099999999999272,N1
577035.0,68775.0,30.0,101.46227,133.54951,63.44086021505376,61.82795698924731,62.634408602150536,0.8099999999999272,N1
577065.0,68775.0,30.0,84.49576,145.50597,62.00716845878136,63.08243727598566,62.54480286738351,0.8099999999999272,N1
577095.0,68775.0,30.0,183.04654,157.44263,74.6415770609319,66.57706093189965,70.60931899641577,0.8099999999999272,N1
577125.0,68775.0,30.0,156.20729,149.36078,72.93906810035843,65.14336917562724,69.04121863799284,0.8099999999999272,N1
577155.0,68775.0,30.0,156.20729,157.45016,72.93906810035843,67.02508960573476,69.9820788530466,0.8099999999999272,N1
577185.0,68775.0,30.0,130.59094,152.96878,69.44444444444444,66.21863799283155,67.831541218638,0.8099999999999272,N1
577215.0,68775.0,30.0,118.756966,151.16641,66.93548387096774,65.50179211469535,66.21863799283155,0.8099999999999272,N1
577245.0,68775.0,30.0,254.35481,152.49452,85.75268817204301,65.86021505376344,75.80645161290323,0.8099999999999272,N1
577275.0,68775.0,30.0,224.61006,146.30263,78.40501792114696,63.530465949820794,70.96774193548387,0.8099999999999272,N1
577305.0,68775.0,30.0,194.07098,143.65376,75.62724014336918,62.72401433691756,69.17562724014337,0.8099999999999272,N1
577335.0,68775.0,30.0,172.19382,149.16782,73.47670250896059,64.87455197132617,69.17562724014337,0.8099999999999272,N1
575505.0,68685.0,295.4657340538831,206.23659,480.5553,77.06093189964157,92.29390681003584,84.6774193548387,0.7199999999999273,N1
575475.0,68655.0,283.0194339616981,206.23659,480.5553,77.06093189964157,92.29390681003584,84.6774193548387,0.6899999999999272,N1
575505.0,68655.0,268.3281572999748,206.23659,480.5553,77.06093189964157,92.29390681003584,84.6774193548387,0.6899999999999272,N1
575475.0,68625.0,256.3201123595259,237.78137,523.59125,83.78136200716845,96.68458781362007,90.23297491039426,0.6599999999999272,N1
575505.0,68625.0,241.86773244895647,206.23659,480.5553,77.06093189964157,92.29390681003584,84.6774193548387,0.6599999999999272,N1
575535.0,68625.0,228.47319317591726,206.23659,480.5553,77.06093189964157,92.29390681003584,84.6774193548387,0.6599999999999272,N1
575565.0,68625.0,216.33307652783935,243.9796,241.93732,85.03584229390681,73.02867383512545,79.03225806451613,0.6599999999999272,N1
575475.0,68595.0,228.47319317591726,237.78137,523.59125,83.78136200716845,96.68458781362007,90.23297491039426,0.6299999999999273,N1
575505.0,68595.0,216.33307652783935,206.23659,480.5553,77.06093189964157,92.29390681003584,84.6774193548387,0.6299999999999273,N1
575535.0,68595.0,201.24611797498108,206.23659,480.5553,77.06093189964157,92.29390681003584,84.6774193548387,0.6299999999999273,N1
575565.0,68595.0,189.73665961010278,206.23659,480.5553,77.06093189964157,92.29390681003584,84.6774193548387,0.6299999999999273,N1
575415.0,68565.0,228.47319317591726,282.86545,417.89725,89.42652329749103,82.25806451612904,85.84229390681003,0.5999999999999273,N1
575445.0,68565.0,216.33307652783935,237.78137,523.59125,83.78136200716845,96.68458781362007,90.23297491039426,0.5999999999999273,N1
575415.0,68535.0,201.24611797498108,282.86545,417.89725,89.42652329749103,82.25806451612904,85.84229390681003,0.5699999999999272,N1
575445.0,68535.0,189.73665961010278,282.86545,417.89725,89.42652329749103,82.25806451612904,85.84229390681003,0.5699999999999272,N1
575625.0,68505.0,84.8528137423857,243.9796,241.93732,85.03584229390681,73.02867383512545,79.03225806451613,0.5399999999999272,N1
575655.0,68505.0,67.0820393249937,243.9796,241.93732,85.03584229390681,73.02867383512545,79.03225806451613,0.5399999999999272,N1
575685.0,68505.0,60.0,243.9796,241.93732,85.03584229390681,73.02867383512545,79.03225806451613,0.5399999999999272,N1
575085.0,68475.0,300.0,263.0427,612.19507,87.27598566308244,98.74551971326166,93.01075268817205,0.5099999999999273,N1
575175.0,68475.0,256.3201123595259,263.0427,612.19507,87.27598566308244,98.74551971326166,93.01075268817205,0.5099999999999273,N1
575205.0,68475.0,241.86773244895647,129.74777,482.24158,68.1899641577061,94.53405017921148,81.36200716845879,0.5099999999999273,N1
575505.0,68475.0,108.16653826391968,237.78137,523.59125,83.78136200716845,96.68458781362007,90.23297491039426,0.5099999999999273,N1
575565.0,68475.0,84.8528137423857,206.23659,480.5553,77.06093189964157,92.29390681003584,84.6774193548387,0.5099999999999273,N1
575595.0,68475.0,67.0820393249937,206.23659,480.5553,77.06093189964157,92.29390681003584,84.6774193548387,0.5099999999999273,N1
575625.0,68475.0,60.0,206.23659,480.5553,77.06093189964157,92.29390681003584,84.6774193548387,0.5099999999999273,N1
575655.0,68475.0,42.42640687119285,243.9796,241.93732,85.03584229390681,73.02867383512545,79.03225806451613,0.5099999999999273,N1
575685.0,68475.0,30.0,243.9796,241.93732,85.03584229390681,73.02867383512545,79.03225806451613,0.5099999999999273,N1
575055.0,68445.0,295.4657340538831,320.14084,464.27582,91.93548387096774,89.06810035842294,90.50179211469535,0.47999999999992726,N1
575085.0,68445.0,276.5863337187866,263.0427,612.19507,87.27598566308244,98.74551971326166,93.01075268817205,0.47999999999992726,N1
575115.0,68445.0,258.0697580112788,263.0427,612.19507,87.27598566308244,98.74551971326166,93.01075268817205,0.47999999999992726,N1
575145.0,68445.0,241.86773244895647,263.0427,612.19507,87.27598566308244,98.74551971326166,93.01075268817205,0.47999999999992726,N1
575175.0,68445.0,228.47319317591726,263.0427,612.19507,87.27598566308244,98.74551971326166,93.01075268817205,0.47999999999992726,N1
575205.0,68445.0,216.33307652783935,129.74777,482.24158,68.1899641577061,94.53405017921148,81.36200716845879,0.47999999999992726,N1
575235.0,68445.0,201.24611797498108,129.74777,482.24158,68.1899641577061,94.53405017921148,81.36200716845879,0.47999999999992726,N1
575445.0,68445.0,108.16653826391968,282.86545,417.89725,89.42652329749103,82.25806451612904,85.84229390681003,0.47999999999992726,N1
