section,edge_pixels,x_label,y_label,median_distance_m,tanager_median_relative_signal,sentinel_median_relative_signal,relative_signal_score,monitoring_rank,tanager_rank,sentinel_rank,longitude,latitude
N1,212,575505.0,68475.0,120.0,80.73476702508961,80.82437275985663,81.36200716845879,1,1,1,117.67856780206077,0.6194708267405082
S1,111,574725.0,67485.0,108.16653826391968,52.77777777777778,52.060931899641574,50.89605734767025,2,2,2,117.67155710252312,0.6105155148324578
S2,91,574455.0,66495.0,90.0,34.13978494623656,33.42293906810036,33.78136200716846,3,3,3,117.66912961202114,0.6015596037652434
S4,62,573660.0,64290.0,125.48619469105418,17.83154121863799,25.134408602150536,23.163082437275985,4,4,4,117.66198287791453,0.5816125160783454
S3,49,574335.0,65535.0,60.0,10.931899641577061,9.31899641577061,12.365591397849464,5,5,5,117.66805016867474,0.5928749194548283
S5,33,573405.0,63645.0,94.86832980505139,6.182795698924731,8.781362007168457,6.6308243727598555,6,6,6,117.65969061938486,0.575777664223082
