sensor,max,median,min,n_quantified,p25,p5,p75,p95
EMIT (CarbonMapper),8894.168676165245,1674.3321858636778,239.05161072289116,30.0,930.9106562468435,416.1777979597011,2511.8241092042144,4474.379074197819
EMIT (NASA),932.418,932.418,932.418,1.0,932.418,932.418,932.418,932.418
GHGSat (open sample),31894.36774683525,4701.655990969267,66.0707868443757,70.0,1650.9901615600143,640.2688256084404,6591.142332339802,12931.661287669152
TROPOMI (SRON),61000.0,16500.0,5000.0,30.0,11250.0,8450.0,20000.0,46749.999999999985
Tanager,9937.796080744163,834.4976112916314,57.470001471348304,229.0,529.1091264494382,174.9496923217241,1810.693279085336,4743.965681146717
