lat,lon,revisits,n_other_sensors,median_rate
11.483239323068457,104.88688128576044,20,1,1025.2015782507756
10.416277508584395,123.9210151239218,6,0,1372.207200592725
3.371999690899486,113.04678273310331,1,0,3523.915576188956
-7.527659490697177,112.71148422613585,8,1,274.8403373327016
6.10850926595933,116.17582852629907,5,0,585.1887316863846
21.649477471504397,94.6237607987596,2,1,778.6761640439984
-7.024886548383027,110.35866407799607,3,0,594.699752638775
21.33978717842713,105.83296125672116,1,1,1319.3933874483291
13.582060815181638,100.67135068284803,14,1,696.1143619945083
-6.4227949349195725,106.78844142621975,2,0,1304.8346202820535
10.97258894478226,106.41871389906868,2,0,648.3902268576438
-6.3567867094819155,106.9962004351338,7,0,687.4547750674761
2.869739923381553,101.64441318318956,1,0,607.7548519139568
10.580619647247573,107.1318918973709,5,0,1095.3491219628231
14.057043964083933,99.97242231930358,1,2,1216.3736193751297
17.36182928732336,95.73865116721578,1,0,
-2.222197665620527,115.49105789596194,1,0,
-6.327061207189445,106.66335758866518,1,0,756.4106264232117
22.41695749742812,113.93203151355108,12,2,2361.539038939908
2.7314429495768877,101.60348135271539,6,1,1657.580748995145
23.26379996736291,113.48156863150764,3,1,165.632145452981
14.05048629889042,100.15725081971198,1,0,1174.903368004458
22.546925750535358,114.17283822630822,11,2,2133.835906843867
10.708340217292417,122.52310923599843,1,0,828.1082865559024
-6.481222434249872,106.9002182883192,1,0,736.4774181531823
1.773370602618641,103.86265674333872,1,0,2407.6847448945045
14.700338260587424,120.9140140378301,3,1,392.1499574130377
4.437412180604099,113.8020618967888,1,0,451.5281081340096
-7.020578663557274,107.90622856483924,1,0,
1.715226842216452,111.4280798019131,1,0,
13.732406565008093,100.98404355097654,1,1,794.0853908795804
7.591558046386467,102.98789095329136,1,0,4870.34148317388
16.963780759255776,95.64503802697627,2,0,817.6928472187783
5.414529498046592,100.62323879955605,10,0,672.5897536793527
-6.136807643898095,106.61804535226764,1,1,
21.64981314893677,94.66575724999558,1,1,1049.237095773129
16.968848613783678,95.63299530166104,1,0,
14.690411172246241,121.16464719955032,18,1,1895.4298565370293
17.36187105730221,95.73856472045634,1,0,421.9764614806456
-5.175327091521748,119.49089602797174,8,0,300.02328114076096
22.81082929142912,112.67662286466896,1,0,1275.8724203457375
20.816263929514815,106.75242562638796,1,1,951.5667238444468
-6.346981125477117,106.99795208089618,30,0,1962.3931462764735
-8.722101395641532,115.22118845620913,6,1,596.9310879716468
6.345982439753129,115.65696293668702,1,0,949.5556723104164
10.42447655319161,123.93529435468753,2,0,526.7590310848414
3.1888213492253232,101.36068143279374,3,1,4491.09423468832
3.3963107518725946,101.41869092322149,2,0,411.0112983564952
10.34737849043158,108.54584531438633,1,0,162.81910388036798
16.91916015555411,96.18502410547822,8,1,573.1836829739293
-6.38867479685932,106.89854959256536,1,0,483.8194873477474
1.6592066645900192,103.7184781660435,9,0,1080.5846236553214
16.893629093660454,96.02310656890074,3,1,212.81925731219155
-7.638396417431451,112.8266025988654,1,0,623.6565876843638
11.17859837804179,106.65783645252745,2,0,700.2529385125276
15.29791291551002,120.52075333522788,3,1,715.9359162580171
0.7241946119928856,117.65830251077983,3,0,351.59521694770456
10.530024516391537,108.4823843478705,1,0,240.37886541209392
16.964501806699744,95.65536408149995,1,0,
10.966749018813488,106.41354523585682,1,0,
-5.106540626487757,105.22624529370069,1,0,679.7086504733924
21.334080179405802,105.83545526147718,3,1,1024.3779342519338
-2.2202173328528603,115.48451838151898,5,0,618.7795274094163
7.149189606775062,125.5528786595972,10,0,751.3393582034315
10.960488879004911,106.43247861056771,1,0,
-7.550756219233794,112.76428888645242,4,1,199.2290805360392
-5.070996522101865,119.58029688455208,1,0,87.5026496913698
23.44270349396227,116.59965706247203,1,0,530.3834285306732
6.980779053952119,104.17792553711354,1,0,2975.268799801296
14.054773552391126,99.96191570170824,6,2,3118.860328308082
21.130266371449466,105.42431972762296,1,1,
-6.821769072192993,109.03184354788964,1,0,166.91637125892103
10.66544148411338,106.67091237942216,16,2,1923.6168836112372
4.7393482506797895,113.7413244254837,2,0,3054.6580666820178
-6.800637840480699,107.35027415422995,3,1,406.38759346820365
14.770950308179028,121.15548258943743,29,1,2268.5532848762737
14.006138230480282,100.31955310790988,4,0,844.4416401306091
6.103690959209985,116.1743421526379,1,0,1140.146542346036
13.765405071364306,101.40084269891483,2,1,3538.404622592363
4.415498662360775,113.7332958674716,1,0,2221.5357042578776
13.74160808753231,109.13457904111169,5,1,530.086605357627
6.374236922828416,103.81909378734429,1,0,4579.2853106037965
13.063198884048845,101.023680540274,2,0,1506.6057192259905
-6.103967139754772,106.54342475322377,2,0,544.8055292287938
10.965988048730276,106.43953463583948,5,0,999.4811750592095
-0.8250001467213365,100.38215621027553,2,0,494.3832589681328
16.039358638103632,108.14315348290378,4,1,800.5158475869232
-6.350922611347144,107.01940086882564,7,0,716.8218803405762
21.127806007888,105.4281198940501,1,1,
-6.566181879424883,106.64397363703866,5,1,713.9290288335485
1.3774923228482834,110.34394109259918,7,0,376.5110285740846
3.7183170653300457,98.64988056645325,3,0,83.50555623391077
14.010801482231583,100.31687808163775,1,0,
