sensor,plume_id,datetime,lat,lon,source,emission_kg_hr,uncertainty_kg_hr,max_conc_ppm_m,sector
EMIT (NASA),EMIT_L2B_CH4PLM_002_20230126T062716_000587,2023-01-26 06:27:16+00:00,13.571750843373492,100.66044795180723,NASA LP DAAC EMITL2BCH4PLM.002 (CH4PLMMETA JSON),,,5612.0,unknown
EMIT (NASA),EMIT_L2B_CH4PLM_002_20230225T050608_000721,2023-02-25 05:06:08+00:00,14.049772987012991,99.96506337662339,NASA LP DAAC EMITL2BCH4PLM.002 (CH4PLMMETA JSON),932.418,124.3962,3806.0,unknown
EMIT (NASA),EMIT_L2B_CH4PLM_002_20230225T050619_000722,2023-02-25 05:06:19+00:00,13.620617407407407,100.5573677777778,NASA LP DAAC EMITL2BCH4PLM.002 (CH4PLMMETA JSON),,,3164.0,unknown
EMIT (NASA),EMIT_L2B_CH4PLM_002_20230225T050619_000723,2023-02-25 05:06:19+00:00,13.578681714285715,100.66920371428571,NASA LP DAAC EMITL2BCH4PLM.002 (CH4PLMMETA JSON),,,2405.0,unknown
EMIT (NASA),EMIT_L2B_CH4PLM_002_20230424T060859_000857,2023-04-24 06:08:59+00:00,14.04809074074074,99.96656790123457,NASA LP DAAC EMITL2BCH4PLM.002 (CH4PLMMETA JSON),,,2656.0,unknown
EMIT (NASA),EMIT_L2B_CH4PLM_002_20231107T005349_001918,2023-11-07 00:53:49+00:00,-6.5446310650887565,106.66497165680471,NASA LP DAAC EMITL2BCH4PLM.002 (CH4PLMMETA JSON),,,4870.0,unknown
EMIT (NASA),EMIT_L2B_CH4PLM_002_20240129T042245_002569,2024-01-29 04:22:45+00:00,11.467520148148148,104.86693111111111,NASA LP DAAC EMITL2BCH4PLM.002 (CH4PLMMETA JSON),,,5220.0,unknown
EMIT (NASA),EMIT_L2B_CH4PLM_002_20240823T051729_003475,2024-08-23 05:17:29+00:00,13.582026699029132,100.68237417475727,NASA LP DAAC EMITL2BCH4PLM.002 (CH4PLMMETA JSON),,,2556.0,unknown
