site_ID,lat,lon,year,month,day,hour,minute,second,Q_t_per_hr,Q_error_t_per_hr,wind_speed_m_per_s,sat_ID,obs_ID,date,IME_kg,intermediate_results_L_m,intermediate_results_effective_wind_speed_m_per_s,conversion_ch4_ppb_to_molm2,manually_pinned_sources,plume_tif_file_name,sensor,datetime,emission_kg_hr,uncertainty_kg_hr,source
40,22.54481,114.17201,2022,12,29,5,40,18,5.697056950592886,2.154929293970274,4.25,4,HbsSngO,2022-12-29 05:40:18,1444.5712997078708,1921.51165138818,2.105,0.0003550825,(22.544400;114.171600),C4_20221229_20230112_HbsSngO_9157_CH4PL.tif,GHGSat (open sample),2022-12-29 05:40:18+00:00,5697.056950592886,2154.929293970274,GHGSat open Zenodo release (2021-2022)
40,22.54386267,114.16929594,2022,12,31,5,42,14,4.887801634078885,2.22707268079816,2.52,5,LbuLngO,2022-12-31 05:42:14,997.9871536176914,1114.9161321505424,1.5168,0.0003550825,(22.544100;114.169700),C5_20221231_20230113_LbuLngO_9196_CH4PL.tif,GHGSat (open sample),2022-12-31 05:42:14+00:00,4887.801634078885,2227.0726807981596,GHGSat open Zenodo release (2021-2022)
41,22.41842459,113.93263194,2021,11,14,3,2,39,4.626490507954307,1.9708285597159392,3.14,1,7WU8P9B,2021-11-14 03:02:39,390.3822781754027,524.7882647589239,1.7276000000000002,0.000356153,(22.418200;113.932600),C1_20211114_20220423_7WU8P9B_2675_CH4PL.tif,GHGSat (open sample),2021-11-14 03:02:39+00:00,4626.490507954307,1970.8285597159393,GHGSat open Zenodo release (2021-2022)
41,22.4176,113.9334,2022,3,4,2,55,54,15.1065558620186,10.62324804770857,0.61,1,7YC6u9B,2022-03-04 02:55:54,8646.829790338086,1787.365487085509,0.8674000000000001,0.000356153,(22.414700;113.934100//22.416800;113.933800),C1_20220304_20220421_7YC6u9B_3504_CH4PL.tif,GHGSat (open sample),2022-03-04 02:55:54+00:00,15106.5558620186,10623.24804770857,GHGSat open Zenodo release (2021-2022)
41,22.4174371,113.93272065,2022,6,23,5,45,44,4.9659958971798055,1.960751287219264,3.57,3,DZw3d3c,2022-06-23 05:45:44,433.47005530738426,588.81447814858,1.8738,0.000356153,(22.417700;113.932600//22.422700;113.935900),C3_20220623_20220713_DZw3d3c_4453_CH4PL.tif,GHGSat (open sample),2022-06-23 05:45:44+00:00,4965.995897179805,1960.751287219264,GHGSat open Zenodo release (2021-2022)
41,22.42330422,113.93771733,2022,7,26,1,57,45,3.717296385489631,1.6976354556865294,2.47,2,A_QF93c,2022-07-26 01:57:45,312.9772772122995,454.5916650345981,1.4998,0.000356153,(22.422600;113.938000//22.424200;113.934500),C2_20220726_20240402_A_QF93c_4931_CH4PL.tif,GHGSat (open sample),2022-07-26 01:57:45+00:00,3717.296385489631,1697.6354556865294,GHGSat open Zenodo release (2021-2022)
41,22.41692672,113.93329739,2022,7,28,5,48,32,10.12301779398522,5.709249258262726,1.37,5,L_U7d3c,2022-07-28 05:48:32,6328.850223496496,2533.8363535273984,1.1258,0.000356153,(22.417100;113.934000),C5_20220728_20220730_L_U7d3c_4956_CH4PL.tif,GHGSat (open sample),2022-07-28 05:48:32+00:00,10123.01779398522,5709.249258262726,GHGSat open Zenodo release (2021-2022)
41,22.41710146,113.93144922,2022,8,23,5,43,31,5.696525908753036,2.9715362224079085,1.75,4,H_rM93c,2022-08-23 05:43:31,2288.0466015041825,1814.6840216616768,1.255,0.000356153,(22.417400;113.933200),C4_20220823_20220825_H_rM93c_5449_CH4PL.tif,GHGSat (open sample),2022-08-23 05:43:31+00:00,5696.525908753036,2971.5362224079086,GHGSat open Zenodo release (2021-2022)
41,22.417168,113.934122,2022,9,3,5,53,14,10.424594446275878,3.4042613163413367,5.05,3,Da4993c,2022-09-03 05:53:14,2077.576083350695,1705.4125368684954,2.377,0.000356153,(22.417800;113.934200),C3_20220903_20220927_Da4993c_6394_CH4PL.tif,GHGSat (open sample),2022-09-03 05:53:14+00:00,10424.594446275878,3404.2613163413366,GHGSat open Zenodo release (2021-2022)
41,22.41581895,113.93351623,2022,9,10,5,53,31,13.425223214864175,5.839130074439678,2.84,5,LaA993c,2022-09-10 05:53:31,2972.933329509105,1295.9249343695938,1.6256,0.000356153,(22.416100;113.934200),C5_20220910_20221006_LaA993c_6641_CH4PL.tif,GHGSat (open sample),2022-09-10 05:53:31+00:00,13425.223214864176,5839.1300744396785,GHGSat open Zenodo release (2021-2022)
